Journal,Publisher,Business model,APC (€)
Current Allergy and Asthma Reports,Springer Nature,Hybrid,3290
Current Anesthesiology Reports,Springer Nature,Hybrid,2590
Current Applied Physics,Elsevier,Hybrid,2010
Current Atherosclerosis Reports,Springer Nature,Hybrid,3790
Current Behavioral Neuroscience Reports,Springer Nature,Hybrid,2690
Current Biology,Elsevier,Hybrid,6110
Current Bladder Dysfunction Reports,Springer Nature,Hybrid,2790
Current Breast Cancer Reports,Springer Nature,Hybrid,2690
Current Cardiology Reports,Springer Nature,Hybrid,3290
Current Cardiovascular Imaging Reports,Springer Nature,Hybrid,2790
Current Cardiovascular Risk Reports,Springer Nature,Hybrid,2790
Current Climate Change Reports,Springer Nature,Hybrid,3290
Current Clinical Microbiology Reports,Springer Nature,Hybrid,3390
Current Colorectal Cancer Reports,Springer Nature,Hybrid,2690
Current Dermatology Reports,Springer Nature,Hybrid,3060
Current Developmental Disorders Reports,Springer Nature,Hybrid,3290
Current Developments in Nutrition,Elsevier,OA,3650
Current Diabetes Reports,Springer Nature,Hybrid,3390
Current Emergency and Hospital Medicine Reports,Springer Nature,Hybrid,2690
Current Environmental Health Reports,Springer Nature,Hybrid,2890
Current Epidemiology Reports,Springer Nature,Hybrid,2690
Current Food Science and Technology Reports,Springer Nature,Hybrid,2570
Current Forestry Reports,Springer Nature,Hybrid,3490
Current Fungal Infection Reports,Springer Nature,Hybrid,2690
Current Gastroenterology Reports,Springer Nature,Hybrid,2590
Current Genetic Medicine Reports,Springer Nature,Hybrid,2790
Current Genetics,Springer Nature,Hybrid,3060
Current Geriatrics Reports,Springer Nature,Hybrid,3190
Current Gerontology and Geriatrics Research,Wiley,OA,739
Current HIV/AIDS Reports,Springer Nature,Hybrid,3060
Current Heart Failure Reports,Springer Nature,Hybrid,3060
Current Hematologic Malignancy Reports,Springer Nature,Hybrid,2690
Current Hepatology Reports,Springer Nature,Hybrid,2690
Current Hypertension Reports,Springer Nature,Hybrid,3190
Current Infectious Disease Reports,Springer Nature,Hybrid,2990
Current Issues in Molecular Biology,MDPI,OA,2057
Current Landscape Ecology Reports,Springer Nature,Hybrid,2890
Current Medical Science,Springer Nature,Hybrid,2690
Current Medicine,Springer Nature,OA,1290
Current Medicine Research and Practice,Elsevier,Hybrid,2630
Current Microbiology,Springer Nature,Hybrid,2690
Current Microscopy Reports,Springer Nature,Hybrid,2570
Current Molecular Biology Reports,Springer Nature,Hybrid,2990
Current Neurology and Neuroscience Reports,Springer Nature,Hybrid,3890
Current Nutrition Reports,Springer Nature,Hybrid,3390
Current Obesity Reports,Springer Nature,Hybrid,3990
Current Obstetrics and Gynecology Reports,Springer Nature,Hybrid,3090
Current Oncology,MDPI,OA,1852
Current Oncology Reports,Springer Nature,Hybrid,3490
Current Ophthalmology Reports,Springer Nature,Hybrid,2790
Current Opinion in Behavioral Sciences,Elsevier,Hybrid,3500
Current Opinion in Biomedical Engineering,Elsevier,Hybrid,3250
Current Opinion in Biotechnology,Elsevier,Hybrid,4460
Current Opinion in Cell Biology,Elsevier,Hybrid,4130
Current Opinion in Chemical Biology,Elsevier,Hybrid,4250
Current Opinion in Chemical Engineering,Elsevier,Hybrid,3500
Current Opinion in Colloid & Interface Science,Elsevier,Hybrid,3890
Current Opinion in Electrochemistry,Elsevier,Hybrid,3370
Current Opinion in Endocrine and Metabolic Research,Elsevier,Hybrid,3030
Current Opinion in Environmental Science & Health,Elsevier,Hybrid,3270
Current Opinion in Environmental Sustainability,Elsevier,Hybrid,3730
Current Opinion in Food Science,Elsevier,Hybrid,3510
Current Opinion in Genetics & Development,Elsevier,Hybrid,3690
Current Opinion in Green and Sustainable Chemistry,Elsevier,Hybrid,3010
Current Opinion in Immunology,Elsevier,Hybrid,3760
Current Opinion in Insect Science,Elsevier,Hybrid,3470
Current Opinion in Microbiology,Elsevier,Hybrid,3620
Current Opinion in Neurobiology,Elsevier,Hybrid,4090
Current Opinion in Pharmacology,Elsevier,Hybrid,2720
Current Opinion in Physiology,Elsevier,Hybrid,3190
Current Opinion in Plant Biology,Elsevier,Hybrid,4260
Current Opinion in Psychology,Elsevier,Hybrid,3510
Current Opinion in Solid State & Materials Science,Elsevier,Hybrid,3620
Current Opinion in Structural Biology,Elsevier,Hybrid,4130
Current Opinion in Systems Biology,Elsevier,Hybrid,3190
Current Opinion in Toxicology,Elsevier,Hybrid,3760
Current Opinion in Virology,Elsevier,Hybrid,3170
Current Oral Health Reports,Springer Nature,Hybrid,2790
Current Osteoporosis Reports,Springer Nature,Hybrid,3390
Current Otorhinolaryngology Reports,Springer Nature,Hybrid,2690
Current Pain and Headache Reports,Springer Nature,Hybrid,3390
Current Pathobiology Reports,Springer Nature,Hybrid,2790
Current Pediatrics Reports,Springer Nature,Hybrid,2790
Current Pharmacology Reports,Springer Nature,Hybrid,3390
Current Physical Medicine and Rehabilitation Reports,Springer Nature,Hybrid,2590
Current Plant Biology,Elsevier,OA,2250
Current Pollution Reports,Springer Nature,Hybrid,3490
Current Problems in Cancer,Elsevier,Hybrid,2610
Current Problems in Cancer: Case Reports,Elsevier,OA,590
Current Problems in Cardiology,Elsevier,Hybrid,3090
Current Problems in Diagnostic Radiology,Elsevier,Hybrid,2860
Current Problems in Pediatric and Adolescent Health Care,Elsevier,Hybrid,3320
Current Problems in Surgery,Elsevier,Hybrid,3000
Current Protocols,Wiley,Hybrid,4430
Current Protocols Essential Laboratory Techniques,Wiley,Hybrid,4280
Current Protocols in Bioinformatics,Wiley,Hybrid,4280
Current Protocols in Cell Biology,Wiley,Hybrid,4280
Current Protocols in Chemical Biology,Wiley,Hybrid,4280
Current Protocols in Cytometry,Wiley,Hybrid,4280
Current Protocols in Human Genetics,Wiley,Hybrid,4280
Current Protocols in Immunology,Wiley,Hybrid,4280
Current Protocols in Microbiology,Wiley,Hybrid,4280
Current Protocols in Molecular Biology,Wiley,Hybrid,4280
Current Protocols in Mouse Biology,Wiley,Hybrid,4280
Current Protocols in Neuroscience,Wiley,Hybrid,4280
Current Protocols in Nucleic Acid Chemistry,Wiley,Hybrid,4280
Current Protocols in Pharmacology,Wiley,Hybrid,4280
Current Protocols in Plant Biology,Wiley,Hybrid,4280
Current Protocols in Protein Science,Wiley,Hybrid,4280
Current Protocols in Stem Cell Biology,Wiley,Hybrid,4280
Current Protocols in Toxicology,Wiley,Hybrid,4280
Current Psychiatry Reports,Springer Nature,Hybrid,3490
Current Psychology,Springer Nature,Hybrid,2390
Current Pulmonology Reports,Springer Nature,Hybrid,2690
Current Radiology Reports,Springer Nature,Hybrid,2790
Current Research in Behavioral Sciences,Elsevier,OA,2280
Current Research in Biotechnology,Elsevier,OA,2080
Current Research in Cell Biology,Elsevier,OA,2190
Current Research in Chemical Biology,Elsevier,OA,1690
Current Research in Ecological and Social Psychology,Elsevier,OA,2280
Current Research in Environmental Sustainability,Elsevier,OA,1600
Current Research in Food Science,Elsevier,OA,2280
Current Research in Genetics & Development,Elsevier,OA,2190
Current Research in Green and Sustainable Chemistry,Elsevier,OA,2130
Current Research in Immunology,Elsevier,OA,2280
Current Research in Insect Science,Elsevier,OA,1460
Current Research in Microbial Sciences,Elsevier,OA,2280
Current Research in Neurobiology,Elsevier,OA,2280
Current Research in Parasitology & Vector-Borne Diseases,Elsevier,OA,1730
Current Research in Pharmacology and Drug Discovery,Elsevier,OA,2280
Current Research in Physiology,Elsevier,OA,2280
Current Research in Structural Biology,Elsevier,OA,2280
Current Research in Toxicology,Elsevier,OA,1940
Current Research in Translational Medicine,Elsevier,Hybrid,2880
Current Research in Virological Science,Elsevier,OA,2190
Current Research in Virology,Elsevier,OA,1096
Current Reviews in Musculoskeletal Medicine,Springer Nature,Hybrid,3290
Current Rheumatology Reports,Springer Nature,Hybrid,3290
Current Robotics Reports,Springer Nature,Hybrid,2290
Current Sexual Health Reports,Springer Nature,Hybrid,2790
Current Sleep Medicine Reports,Springer Nature,Hybrid,2690
Current Stem Cell Reports,Springer Nature,Hybrid,2690
Current Surgery Reports,Springer Nature,Hybrid,2790
Current Sustainable/Renewable Energy Reports,Springer Nature,Hybrid,2690
Current Therapeutic Research,Elsevier,OA,1820
Current Tissue Microenvironment Reports,Springer Nature,Hybrid,2190
Current Transplantation Reports,Springer Nature,Hybrid,2690
Current Trauma Reports,Springer Nature,Hybrid,2690
Current Treatment Options in Allergy,Springer Nature,Hybrid,2590
Current Treatment Options in Cardiovascular Medicine,Springer Nature,Hybrid,2690
Current Treatment Options in Gastroenterology,Springer Nature,Hybrid,2690
Current Treatment Options in Infectious Diseases,Springer Nature,Hybrid,2690
Current Treatment Options in Neurology,Springer Nature,Hybrid,3290
Current Treatment Options in Oncology,Springer Nature,Hybrid,3390
Current Treatment Options in Pediatrics,Springer Nature,Hybrid,2790
Current Treatment Options in Psychiatry,Springer Nature,Hybrid,3190
Current Treatment Options in Rheumatology,Springer Nature,Hybrid,2690
Current Tropical Medicine Reports,Springer Nature,Hybrid,2690
Current Urology Reports,Springer Nature,Hybrid,3390
Currents in Pharmacy Teaching and Learning,Elsevier,Hybrid,2680
Curriculum Perspectives,Springer Nature,Hybrid,2390
Curtis's Botanical Magazine,Wiley,Hybrid,2630
Customer Needs and Solutions,Springer Nature,Hybrid,2390
Cybersecurity,Springer Nature,OA,1000
Cytokine,Elsevier,Hybrid,2650
Cytokine & Growth Factor Reviews,Elsevier,Hybrid,3740
Cytokine and Growth Factor Reviews,Elsevier,Hybrid,2805
Cytokine: X,Elsevier,OA,1740
Cytometry Part A,Wiley,Hybrid,2800
Cytometry Part B: Clinical Cytometry,Wiley,Hybrid,2880
Cytopathology,Wiley,Hybrid,2980
Cytoskeleton,Wiley,Hybrid,2980
Cytotechnology,Springer Nature,Hybrid,2890
Cytotherapy,Elsevier,Hybrid,3010
Czechoslovak Mathematical Journal,Springer Nature,Hybrid,2090
DARU Journal of Pharmaceutical Sciences,Springer Nature,Hybrid,3390
DECISION,Springer Nature,Hybrid,2290
DEN Open,Wiley,OA,2250
DGNeurologie,Springer Nature,Hybrid,2380
DNA,MDPI,OA,1028
DNA Repair,Elsevier,Hybrid,3440
Dairy,MDPI,OA,1028
Dao,Springer Nature,Hybrid,2390
Das �sterreichische Gesundheitswesen �KZ,Springer Nature,Hybrid,2490
Data,MDPI,OA,1646
Data & Knowledge Engineering,Elsevier,Hybrid,2360
Data Mining and Knowledge Discovery,Springer Nature,Hybrid,2390
Data Science and Engineering,Springer Nature,OA,1060
Data and Information Management,Elsevier,OA,1230
Data in Brief,Elsevier,OA,480
Data-Enabled Discovery and Applications,Springer Nature,Hybrid,2590
Datenbank-Spektrum,Springer Nature,Hybrid,2380
Datenschutz und Datensicherheit - DuD,Springer Nature,Hybrid,2490
De Economist,Springer Nature,Hybrid,2290
DeCarbon,Elsevier,OA,2010
Decision Analytics Journal,Elsevier,OA,1370
Decision Sciences,Wiley,Hybrid,2480
Decision Sciences Journal of Innovative Education,Wiley,Hybrid,2220
Decision Support Systems,Elsevier,Hybrid,2990
Decisions in Economics and Finance,Springer Nature,Hybrid,2290
Deep Brain Stimulation,Elsevier,OA,2280
Deep-Sea Research Part I: Oceanographic Research Papers,Elsevier,Hybrid,2740
Deep-Sea Research Part II: Topical Studies in Oceanography,Elsevier,Hybrid,3100
Dementia Science - Cognition and Behavior,Elsevier,OA,745
Demography,Springer Nature,Hybrid,2170
Dendrochronologia,Elsevier,Hybrid,2710
Dental Abstracts,Elsevier,Hybrid,2630
Dental Clinics of North America,Elsevier,Hybrid,2630
Dental Materials,Elsevier,Hybrid,3800
Dental Traumatology,Wiley,Hybrid,3400
Dentistry Journal,MDPI,OA,1646
Dentistry Review,Elsevier,OA,1780
DentoMaxilloFacial Radiology,Wiley,Hybrid,2390
Depression Research and Treatment,Wiley,OA,739
Depression and Anxiety,Wiley,Hybrid,3550
Depression and Anxiety,Wiley,OA,2125
Der Anaesthesist,Springer Nature,Hybrid,2590
Der Chirurg,Springer Nature,Hybrid,2590
Der Diabetologe,Springer Nature,Hybrid,2590
Der Gastroenterologe,Springer Nature,Hybrid,2590
Der Gyn�kologe,Springer Nature,Hybrid,2590
Der Hautarzt,Springer Nature,Hybrid,2590
Der Internist,Springer Nature,Hybrid,2590
Der Kardiologe,Springer Nature,Hybrid,2590
Der MKG-Chirurg,Springer Nature,Hybrid,2590
Der Nephrologe,Springer Nature,Hybrid,2590
Der Nervenarzt,Springer Nature,Hybrid,2590
Der Onkologe,Springer Nature,Hybrid,2590
Der Ophthalmologe,Springer Nature,Hybrid,2590
Der Orthop�de,Springer Nature,Hybrid,2590
Der Pathologe,Springer Nature,Hybrid,2590
Der Pneumologe,Springer Nature,Hybrid,2590
Der Radiologe,Springer Nature,Hybrid,2590
Der Schmerz,Springer Nature,Hybrid,2590
Der Unfallchirurg,Springer Nature,Hybrid,2590
Der Urologe,Springer Nature,Hybrid,2590
Dermato,MDPI,OA,1028
Dermatologic Clinics,Elsevier,Hybrid,2980
Dermatologic Therapy,Wiley,Hybrid,3330
Dermatologic Therapy,Wiley,OA,2310
Dermatological Reviews,Wiley,Hybrid,2630
Dermatology Research and Practice,Wiley,OA,854
Dermatology and Therapy,Springer Nature,OA,5500
Dermatopathology,MDPI,OA,1234
Desalination,Elsevier,Hybrid,4180
Design Automation for Embedded Systems,Springer Nature,Hybrid,2490
Design Management Journal,Wiley,Hybrid,2220
Design Management Review,Wiley,Hybrid,2220
Design Studies,Elsevier,Hybrid,3190
Designs,MDPI,OA,1440
"Designs, Codes and Cryptography",Springer Nature,Hybrid,2290
Deutsche Vierteljahrsschrift f�r Literaturwissenschaft und Geistesgeschichte,Springer Nature,Hybrid,2590
Deutsche Zeitschrift f�r Akupunktur,Springer Nature,Hybrid,2590
Developing World Bioethics,Wiley,Hybrid,2880
Development Engineering,Elsevier,OA,2020
Development Genes and Evolution,Springer Nature,Hybrid,2690
Development Policy Review,Wiley,Hybrid,2630
Development and Change,Wiley,Hybrid,3140
"Development, Growth & Differentiation",Wiley,Hybrid,3167
Developmental & Comparative Immunology,Elsevier,Hybrid,3060
Developmental Biology,Elsevier,Hybrid,3370
Developmental Cell,Elsevier,Hybrid,8120
Developmental Cognitive Neuroscience,Elsevier,OA,2990
Developmental Dynamics,Wiley,Hybrid,3610
Developmental Medicine & Child Neurology,Wiley,Hybrid,4230
Developmental Neurobiology,Wiley,Hybrid,3450
Developmental Psychobiology,Wiley,Hybrid,2980
Developmental Review,Elsevier,Hybrid,4200
Developmental Science,Wiley,Hybrid,3350
Developments in the Built Environment,Elsevier,OA,2110
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Elsevier,Hybrid,3080
Diabetes & Metabolism,Elsevier,Hybrid,3520
Diabetes & Metabolism: X,Elsevier,OA,2600
Diabetes Epidemiology and Management,Elsevier,OA,2000
Diabetes Research and Clinical Practice,Elsevier,Hybrid,3620
Diabetes Therapy,Springer Nature,OA,5500
"Diabetes, Obesity and Metabolism",Wiley,Hybrid,4270
Diabetes/Metabolism Research and Reviews,Wiley,Hybrid,3610
Diabetic Medicine,Wiley,Hybrid,3870
Diabetologia,Springer Nature,Hybrid,3890
Diabetology,MDPI,OA,1028
Diabetology & Metabolic Syndrome,Springer Nature,OA,2290
Diagnostic Cytopathology,Wiley,Hybrid,2930
Diagnostic Histopathology,Elsevier,Hybrid,2360
Diagnostic Microbiology and Infectious Disease,Elsevier,Hybrid,2830
Diagnostic Pathology,Springer Nature,OA,2490
Diagnostic and Interventional Imaging,Elsevier,Hybrid,2790
Diagnostic and Prognostic Research,Springer Nature,OA,1990
Diagnostics,MDPI,OA,2057
Dialectica,Wiley,Hybrid,2100
Dialectical Anthropology,Springer Nature,Hybrid,2290
Dialog,Wiley,Hybrid,2170
Dialogues in Health,Elsevier,OA,1000
Diamond and Related Materials,Elsevier,Hybrid,2190
Die Unterrichtspraxis/Teaching German,Wiley,Hybrid,2220
Dietetics,MDPI,OA,1028
Differential Equations and Dynamical Systems,Springer Nature,Hybrid,2290
Differential Geometry and its Applications,Elsevier,Hybrid,2400
Differentiation,Elsevier,Hybrid,2740
Digest of Middle East Studies,Wiley,Hybrid,2220
Digestive Diseases and Sciences,Springer Nature,Hybrid,3290
Digestive Endoscopy,Wiley,Hybrid,3000
Digestive and Liver Disease,Elsevier,Hybrid,3010
Digital,MDPI,OA,1028
Digital Applications in Archaeology and Cultural Heritage,Elsevier,Hybrid,2850
Digital Business,Elsevier,OA,1370
Digital Chemical Engineering,Elsevier,OA,1640
Digital Experiences in Mathematics Education,Springer Nature,Hybrid,2190
Digital Finance,Springer Nature,Hybrid,2390
Digital Geography and Society,Elsevier,OA,1090
Digital Investigation,Elsevier,Hybrid,2455
Digital Signal Processing,Elsevier,Hybrid,2260
Digital Society,Springer Nature,Hybrid,2290
Digital War,Springer Nature,Hybrid,2290
Disabilities,MDPI,OA,1028
Disability and Health Journal,Elsevier,Hybrid,3350
Disaster and Military Medicine,Springer Nature,OA,1790
Disasters,Wiley,Hybrid,2880
"Discourse, Context & Media",Elsevier,Hybrid,3230
Discover Agriculture,Springer Nature,OA,1480
Discover Analytics,Springer Nature,OA,990
Discover Artificial Intelligence,Springer Nature,OA,1040
Discover Chemical Engineering,Springer Nature,OA,1040
Discover Data,Springer Nature,OA,990
Discover Education,Springer Nature,OA,990
Discover Energy,Springer Nature,OA,1040
Discover Environment,Springer Nature,OA,1480
Discover Epidemics,Springer Nature,OA,1040
Discover Food,Springer Nature,OA,1040
Discover Global Society,Springer Nature,OA,1480
Discover Health Systems,Springer Nature,OA,990
Discover Internet of Things,Springer Nature,OA,1040
Discover Materials,Springer Nature,OA,1040
Discover Mechanical Engineering,Springer Nature,OA,990
Discover Mental Health,Springer Nature,OA,1040
Discover Oncology,Springer Nature,OA,1140
Discover Psychology,Springer Nature,OA,1040
Discover Social Science and Health,Springer Nature,OA,1040
Discover Sustainability,Springer Nature,OA,940
Discover Water,Springer Nature,OA,1040
Discrete & Computational Geometry,Springer Nature,Hybrid,2290
Discrete Applied Mathematics,Elsevier,Hybrid,2510
Discrete Dynamics in Nature and Society,Wiley,OA,2195
Discrete Event Dynamic Systems,Springer Nature,Hybrid,2390
Discrete Mathematics,Elsevier,Hybrid,2740
Discrete Optimization,Elsevier,Hybrid,2330
Disease Markers,Wiley,OA,2356
Disease-A-Month,Elsevier,Hybrid,2910
Disease-a-Month,Elsevier,Hybrid,1753
Diseases,MDPI,OA,1646
Displays,Elsevier,Hybrid,2250
Distributed Computing,Springer Nature,Hybrid,2490
Distributed and Parallel Databases,Springer Nature,Hybrid,2390
Diversity,MDPI,OA,2057
Diversity and Distributions,Wiley,OA,2530
Documenta Ophthalmologica,Springer Nature,Hybrid,2990
Domestic Animal Endocrinology,Elsevier,Hybrid,2930
Douleurs,Elsevier,Hybrid,2290
Douleurs Evaluation - Diagnostic - Traitement,Elsevier,Hybrid,3000
"Droit, Deontologie & Soin",Elsevier,Hybrid,1420
Drones,MDPI,OA,2057
Drug Delivery and Translational Research,Springer Nature,Hybrid,3390
Drug Development Research,Wiley,Hybrid,2990
Drug Discovery Today,Elsevier,Hybrid,4400
Drug Discovery Today: Disease Models,Elsevier,Hybrid,2253
Drug Discovery Today: Technologies,Elsevier,Hybrid,3410
Drug Metabolism and Pharmacokinetics,Elsevier,Hybrid,3270
Drug Resistance Updates,Elsevier,Hybrid,4500
Drug Safety,Springer Nature,Hybrid,3390
Drug Safety - Case Reports,Springer Nature,OA,977
Drug Testing and Analysis,Wiley,Hybrid,4020
Drug and Alcohol Dependence,Elsevier,Hybrid,3730
Drug and Alcohol Dependence Reports,Elsevier,OA,1820
Drug and Alcohol Review,Wiley,Hybrid,3550
Drugs,Springer Nature,Hybrid,3990
Drugs & Aging,Springer Nature,Hybrid,3390
Drugs & Therapy Perspectives,Springer Nature,Hybrid,2690
Drugs - Real World Outcomes,Springer Nature,OA,2190
Drugs and Drug Candidates,MDPI,OA,1028
Drugs in R&D,Springer Nature,OA,2690
Dyes and Pigments,Elsevier,Hybrid,2830
Dynamic Games and Applications,Springer Nature,Hybrid,2390
Dynamics,MDPI,OA,1028
Dynamics of Atmospheres and Oceans,Elsevier,Hybrid,2210
Dyslexia,Wiley,Hybrid,2630
Dysphagia,Springer Nature,Hybrid,3190
EBioMedicine,Elsevier,OA,3060
EClinicalMedicine,Elsevier,OA,3060
EFB Bioeconomy Journal,Elsevier,OA,1640
EFSA Journal,Wiley,OA,2200
EJC Paediatric Oncology,Elsevier,OA,2010
EJC Skin Cancer,Elsevier,OA,2010
EJNMMI Physics,Springer Nature,OA,1890
EJNMMI Radiopharmacy and Chemistry,Springer Nature,OA,1690
EJNMMI Research,Springer Nature,OA,2390
EJVES Short Reports,Elsevier,OA,438
EJVES Vascular Forum,Elsevier,OA,1490
ELECTROPHORESIS,Wiley,Hybrid,3450
EMBO Molecular Medicine,Wiley,OA,5200
EMBO Reports,Wiley,Hybrid,5500
ENT Today,Wiley,Hybrid,2100
EPJ Data Science,Springer Nature,OA,1390
EPJ Quantum Technology,Springer Nature,OA,1690
EPJ Techniques and Instrumentation,Springer Nature,OA,1490
EPMA Journal,Springer Nature,Hybrid,3390
EPPO Bulletin,Wiley,Hybrid,2630
ERA Forum,Springer Nature,Hybrid,2390
ESC Heart Failure,Wiley,OA,4020
ESMO Open,Elsevier,OA,3000
EURASIP Journal on Advances in Signal Processing,Springer Nature,OA,1355
"EURASIP Journal on Audio, Speech, and Music Processing",Springer Nature,OA,1330
EURASIP Journal on Image and Video Processing,Springer Nature,OA,1355
EURASIP Journal on Information Security,Springer Nature,OA,840
EURASIP Journal on Wireless Communications and Networking,Springer Nature,OA,1355
EURO Journal on Computational Optimization,Springer Nature,Hybrid,2170
EURO Journal on Computational Optimization,Elsevier,OA,1280
EURO Journal on Decision Processes,Elsevier,OA,1280
EURO Journal on Decision Processes,Springer Nature,Hybrid,2170
EURO Journal on Transportation and Logistics,Elsevier,OA,1280
EURO Journal on Transportation and Logistics,Springer Nature,Hybrid,2170
EXPLORE,Elsevier,Hybrid,1980
Early Childhood Education Journal,Springer Nature,Hybrid,2190
Early Childhood Research Quarterly,Elsevier,Hybrid,3330
Early Human Development,Elsevier,Hybrid,3140
Early Intervention in Psychiatry,Wiley,Hybrid,3560
Early Medieval Europe,Wiley,Hybrid,2170
Earth,MDPI,OA,1028
Earth Science Informatics,Springer Nature,Hybrid,2690
Earth Surface Processes and Landforms,Wiley,Hybrid,4020
Earth System Governance,Elsevier,OA,1250
Earth Systems and Environment,Springer Nature,Hybrid,2890
Earth and Planetary Science Letters,Elsevier,Hybrid,3650
Earth and Space Science,Wiley,OA,1560
Earth's Future,Wiley,OA,1840
"Earth, Moon, and Planets",Springer Nature,Hybrid,2490
"Earth, Planets and Space",Springer Nature,OA,1200
Earth-Science Reviews,Elsevier,Hybrid,4140
Earthquake Engineering & Structural Dynamics,Wiley,Hybrid,3760
Earthquake Engineering and Engineering Vibration,Springer Nature,Hybrid,2790
Earthquake Engineering and Resilience,Wiley,Hybrid,2238
East Asia,Springer Nature,Hybrid,2290
East Asian Community Review,Springer Nature,Hybrid,1790
Eating Behaviors,Elsevier,Hybrid,2940
"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity",Springer Nature,Hybrid,3190
"Eating and Weight Disorders - Studies on Anorexia, Bulimia and Obesity",Springer Nature,OA,3190
Echo Research & Practice,Springer Nature,OA,1790
Echocardiography,Wiley,Hybrid,2780
Eco-Environment & Health,Elsevier,OA,2010
EcoHealth,Springer Nature,Hybrid,2790
EcoMat,Wiley,OA,3041
Ecography,Wiley,Hybrid,1500
Ecography,Wiley,OA,2480
Ecohydrology,Wiley,Hybrid,3550
Ecohydrology & Hydrobiology,Elsevier,Hybrid,1800
Ecological Applications,Wiley,Hybrid,3000
Ecological Complexity,Elsevier,Hybrid,2390
Ecological Economics,Elsevier,Hybrid,3370
Ecological Engineering,Elsevier,Hybrid,3190
Ecological Engineering: X,Elsevier,OA,2279
Ecological Entomology,Wiley,Hybrid,3500
Ecological Genetics and Genomics,Elsevier,Hybrid,2230
Ecological Indicators,Elsevier,OA,2370
Ecological Indicators,Elsevier,Hybrid,2709
Ecological Informatics,Elsevier,Hybrid,2290
Ecological Management & Restoration,Wiley,Hybrid,2083
Ecological Modelling,Elsevier,Hybrid,2540
Ecological Monographs,Wiley,Hybrid,3000
Ecological Research,Wiley,Hybrid,2500
Ecological Research,Springer Nature,Hybrid,2480
Ecological Solutions and Evidence,Wiley,OA,2000
Ecologies,MDPI,OA,1028
Ecology,Wiley,Hybrid,3000
Ecology Letters,Wiley,Hybrid,4230
Ecology and Evolution,Wiley,OA,1920
Ecology of Freshwater Fish,Wiley,Hybrid,3140
Econometrica,Wiley,Hybrid,4170
Econometrics,MDPI,OA,1440
Econometrics and Statistics,Elsevier,Hybrid,1400
Economia Politica,Springer Nature,Hybrid,2290
Economic Affairs,Wiley,Hybrid,2220
Economic Analysis and Policy,Elsevier,Hybrid,2050
Economic Anthropology,Wiley,Hybrid,2580
Economic Botany,Springer Nature,Hybrid,2790
Economic Change and Restructuring,Springer Nature,Hybrid,2390
Economic Inquiry,Wiley,Hybrid,2670
Economic Modelling,Elsevier,Hybrid,2400
Economic Notes,Wiley,Hybrid,2220
Economic Papers,Wiley,Hybrid,2100
Economic Record,Wiley,Hybrid,2170
Economic Systems,Elsevier,Hybrid,1590
Economic Theory,Springer Nature,Hybrid,2390
Economic Theory Bulletin,Springer Nature,Hybrid,2190
Economica,Wiley,Hybrid,2680
Economics & Human Biology,Elsevier,Hybrid,2510
Economics & Politics,Wiley,Hybrid,2480
Economics Letters,Elsevier,Hybrid,2450
Economics and Human Biology,Elsevier,Hybrid,2270
Economics of Disasters and Climate Change,Springer Nature,Hybrid,2290
Economics of Education Review,Elsevier,Hybrid,2200
Economics of Governance,Springer Nature,Hybrid,2190
Economics of Transition,Wiley,Hybrid,2150
Economics of Transition and Institutional Change,Wiley,Hybrid,2270
Economics of Transportation,Elsevier,Hybrid,1820
Economies,MDPI,OA,1440
Ecosphere,Wiley,OA,1700
Ecosystem Services,Elsevier,Hybrid,3610
Ecosystems,Springer Nature,Hybrid,3390
Ecotoxicology,Springer Nature,Hybrid,2690
Ecotoxicology and Environmental Safety,Elsevier,Hybrid,2323
Ecotoxicology and Environmental Safety,Elsevier,OA,2460
Educaci�n M�dica,Elsevier,OA,500
Education Research International,Wiley,OA,970
Education Sciences,MDPI,OA,1440
Education and Information Technologies,Springer Nature,Hybrid,2590
Education and Treatment of Children,Springer Nature,Hybrid,2090
Education for Chemical Engineers,Elsevier,Hybrid,3060
"Educational Assessment, Evaluation and Accountability",Springer Nature,Hybrid,2390
Educational Measurement: Issues and Practices,Wiley,Hybrid,2780
Educational Psychology Review,Springer Nature,Hybrid,3390
Educational Research Review,Elsevier,Hybrid,3710
Educational Research for Policy and Practice,Springer Nature,Hybrid,2390
Educational Studies in Mathematics,Springer Nature,Hybrid,2390
Educational Technology Research and Development,Springer Nature,Hybrid,2490
Educational Theory,Wiley,Hybrid,2220
Egyptian Informatics Journal,Elsevier,OA,1090
Electoral Studies,Elsevier,Hybrid,2490
Electric Power Systems Research,Elsevier,Hybrid,2260
Electric Power Systems Research: X,Elsevier,OA,2321
Electrical Engineering,Springer Nature,Hybrid,2790
Electrical Engineering in Japan,Wiley,Hybrid,2170
Electricity,MDPI,OA,1028
Electroanalysis,Wiley,Hybrid,2880
Electrocatalysis,Springer Nature,Hybrid,2790
Electrochem,MDPI,OA,1028
Electrochemical Energy Reviews,Springer Nature,Hybrid,2490
Electrochemical Science Advances,Wiley,OA,1800
Electrochemistry Communications,Elsevier,OA,2020
Electrochimica Acta,Elsevier,Hybrid,3530
Electronic Commerce Research,Springer Nature,Hybrid,2290
