"Journal","Field","Publisher","Publisher type","Business model","Institution","Institution type","Country","Website","APC Euros","Scimago Rank","Scimago Quartile","H index","PCI partner"
"ERJ Open Research","Physiology","European Respiratory Society (ERS)","Non-profit","OA","","","UK","https://publications.ersnet.org/content/erjor","580","1.367","Q1 (Pulmonary and Respiratory Medicine)","52","No"
"Ecohealth","Ecology","Springer Nature","For-profit associated with a society","Hybrid","Nature.Health.Global","","Germany / UK","https://link.springer.com/journal/10393","2220","0.546","Q2 (Ecology)","76","No"
"Epilepsia","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","The International League Against Epilepsy","","USA","https://onlinelibrary.wiley.com/journal/15281167","2082","2.371","Q1 (Neurology)","228","No"
"Epilepsia Open","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","OA","The International League Against Epilepsy","","USA","https://onlinelibrary.wiley.com/journal/24709239","1913","0.981","Q2 (Neurology)","37","No"
"Epilepsy Currents","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","OA","American Epilepsy Society (AES)","Society","USA","https://journals.sagepub.com/home/epi","","0.354","Q3 (Neurology)","34","No"
"Epilepsy Research","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/epilepsy-research","1992","0.694","Q2 (Neurology)","130","No"
"Epilepsy and Behavior","Neurology and Psychiatry","Elsevier","For-profit","OA","","","Netherlands","https://www.epilepsybehavior.com/","2384","0.829","Q2 (Behavioral Neuroscience; Neurology)","128","No"
"Epileptic Disorders","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","","International League Against Epilepsy","","USA","https://onlinelibrary.wiley.com/journal/19506945","","0.713","Q2 (Medicine; Neurology)","67","No"
"European Addiction Research","Neurology and Psychiatry","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com//ear","3207","0.981","Q1 (Health; Medicine)","64","No"
"European Journal of Applied Physiology","Physiology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/421","2636","1.06","Q1 (Medicine; Orthopedics and Sports Medicine; Public Health, Environmental and Occupational Health)","167","No"
"European Journal of Neurology","Neurology and Psychiatry","John Wiley & Sons","For-profit","Hybrid","Journal of the European Academy of Neurology (EAN)","","USA","https://onlinelibrary.wiley.com/journal/14681331","3350","1.561","Q1 (Neurology)","151","No"
"European Journal of Nutrition","Nutrition","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/394","2792","1.346","Q1 (Medicine; Nutrition and Dietetics)","125","No"
"European Journal of Sport Science","Sport Science","John Wiley & Sons","For-profit associated with a society","Hybrid","European College of Sport Science","","USA","https://onlinelibrary.wiley.com/journal/15367290","2468","1.161","Q1 (Medicine; Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","87","No"
"European Psychiatry","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","OA","European Psychiatric Association","Society","UK","https://www.cambridge.org/core/journals/european-psychiatry","2270","1.989","Q1 (Psychiatry and Mental Health)","116","No"
"European Respiratory Journal","Physiology","European Respiratory Society (ERS)","Non-profit","Hybrid","","","","https://publications.ersnet.org/content/erj","2326","4.502","Q1 (Medicine; Pulmonary and Respiratory Medicine)","299","No"
"European Respiratory Review","Physiology","European Respiratory Society (ERS)","Non-profit","OA","","","UK","https://publications.ersnet.org/content/errev","1133","3.005","Q1 (Pulmonary and Respiratory Medicine)","103","No"
"European Stroke Journal","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","European Stroke Organization","","USA","https://journals.sagepub.com/home/esoa","362","2.433","Q1 (Cardiology and Cardiovascular Medicine; Neurology)","42","No"
"Eurosurveillance","Infectious Diseases","European Union","Non-profit","OA diamond","","University/Government","EU","https://www.eurosurveillance.org/","0","2.331","Q1 (Epidemiology; Infectious Diseases; Medicine; Microbiology; Public Health, Environmental and Occupational Health; Virology)","137","No"
"Evolution, Medicine, and Public Health","Generalist","Oxford University Press (OUP)","University Press associated with a society","OA","International Society for Evolution, Medicine & Public Health","Society","UK","https://academic.oup.com/emph?login=true","2894","0.835","Q1 (Ecology, Evolution, Behavior and Systematics)","36","No"
"Exercise and Sport Sciences Reviews","Sport Science","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","American College of Sports Medicine (ACSM)","","Netherlands / USA","https://journals.lww.com/acsm-essr/pages/default.aspx","3958","1.346","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","122","No"
"Experimental Aging Research","Aging","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/uear20","","0.576","Q1 (Arts and Humanities)","59","No"
"Experimental Neurology","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/experimental-neurology","2764","1.499","Q1 (Developmental Neuroscience; Neurology)","212","No"
"Experimental Physiology","Physiology","John Wiley & Sons","For-profit associated with a society","OA","The Physiology Society","Society","USA","https://physoc.onlinelibrary.wiley.com/journal/1469445x","2287","0.842","Q2 (Nutrition and Dietetics; Physiology)","119","No"
"Expert Review of Neurotherapeutics","Neurology and Psychiatry","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/iern20","","1.162","Q1 (Neurology; Pharmacology)","103","No"
"Frontiers in Aging","Aging","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/aging","1677","1.455","Q1 (Genetics; Molecular Biology; Physiology)","20","No"
"Frontiers in Neurology","Neurology and Psychiatry","Frontiers Media SA","For-profit","OA","","","Switzerland","https://www.frontiersin.org/journals/neurology","2397","0.993","Q2 (Neurology)","118","No"
"GeoHealth","Ecology","John Wiley & Sons","For-profit associated with a society","OA","American Geophysical Union (AGU)","","USA","https://agupubs.onlinelibrary.wiley.com/journal/24711403","1972","1.308","Q1 (Epidemiology; Health, Toxicology and Mutagenesis; Management, Monitoring, Policy and Law; Pollution; Public Health, Environmental and Occupational Health; Waste Management and Disposal; Water Science and Technology)","40","No"
"Geriatrics and Gerontology International","Aging","John Wiley & Sons","For-profit associated with a society","Hybrid","Japan Geriatrics Society","Society","USA","https://onlinelibrary.wiley.com/journal/14470594","2052","0.763","Q2 (Geriatrics and Gerontology; Gerontology; Health; Medicine)","83","No"
"GeroScience","Aging","Springer Nature","For-profit associated with a society","Hybrid","American Aging Association (AGE)","Society","Germany / UK","https://link.springer.com/journal/11357","2688","1.564","Q1 (Aging; Cardiology and Cardiovascular Medicine; Complementary and Alternative Medicine; Geriatrics and Gerontology; Veterinary)","95","No"
"Gerontology","Aging","Karger Publishers","For-profit","Hybrid","","","Switzerland","https://karger.com/ger","2678","0.98","Q2 (Geriatrics and Gerontology)","120","No"
"Gut","Physiology","BMJ Group","Non-profit","Hybrid","","","UK","https://gut.bmj.com/","3433","8.874","Q1 (Gastroenterology)","364","No"
"Gut and Liver","Physiology","Korean Society of Gastroenterology; the Korean Society of Gastrointestinal Endoscopy; the Korean Society of Neurogastroenterology and Motility; the Korean College of Helicobacter and Upper Gastrointestinal Research; the Korean Association for the Study of Intestinal Diseases; the Korean Association for the Study of the Liver; the Korean Pancreatobiliary Association; the Korean Society of Gastrointestinal Cancer Researh","Non-profit","OA","Korean Society of Gastroenterology; the Korean Society of Gastrointestinal Endoscopy; the Korean Society of Neurogastroenterology and Motility; the Korean College of Helicobacter and Upper Gastrointestinal Research; the Korean Association for the Study of Intestinal Diseases; the Korean Association for the Study of the Liver; the Korean Pancreatobiliary Association; the Korean Society of Gastrointestinal Cancer Researh","Society","Korea, Republic of","https://www.gutnliver.org/main.html","","1.344","Q1 (Gastroenterology; Hepatology)","67","No"
"Gériatrie et Psychologie Neuropsychiatrie du Vieillissement","Aging","John Libbery Eurotext","For-profit associated with a society","Hybrid","Société française de gériatrie et de gérontologie (SFGG); Société francophone de psychogériatrie et de psychiatrie de la personne âgée (SF3PA); Association des jeunes gériatres (AJG)","Society","France","https://www.jle.com/fr/revues/gpn/revue.phtml","424","0.19","Q4 (Biological Psychiatry; Geriatrics and Gerontology; Medicine; Neurology; Neuropsychology and Physiological Psychology)","22","No"
"Harvard Review of Psychiatry","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit associated with a society","Hybrid","Departments of Psychiatry, Harvard teaching hospitals","","Netherlands / USA","https://journals.lww.com/hrpjournal/pages/default.aspx","2020","1.049","Q2 (Psychiatry and Mental Health)","94","No"
"Headache","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","","American Headache Society","Society","USA","https://headachejournal.onlinelibrary.wiley.com/","","1.426","Q1 (Neurology)","146","No"
"High Altitude Medicine & Biology","Physiology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","","","USA","https://liebertpub.com/loi/HAM","3446","0.57","Q2 (Medicine; Public Health, Environmental and Occupational Health)","66","No"
"Human Movement Science","Sport Science","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/human-movement-science","1910","0.614","Q2 (Biophysics; Medicine; Orthopedics and Sports Medicine)","109","No"
"International Gambling Studies","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/rigs20","742","1.071","Q2 (Applied Psychology)","45","No"
"International Journal of Bipolar Disorders","Neurology and Psychiatry","Springer Nature","For-profit associated with a society","OA","International Group for The Study of Lithium Treated Patients; Deutsche Gesellschaft für Bipolare Störungen (DGBS)","Society","UK","https://journalbipolardisorders.springeropen.com/","1865","1.325","Q1 (Psychiatry and Mental Health)","37","No"
"International Journal of Geriatric Psychiatry","Neurology and Psychiatry","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/10991166","2685","1.221","Q1 (Geriatrics and Gerontology; Psychiatry and Mental Health)","157","No"
"International Journal of Mental Health and Addiction","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/11469","2341","1.477","Q1 (Psychiatry and Mental Health)","79","No"
"International Journal of Sports Physiology and Performance","Physiology","Human Kinetics","For-profit","Hybrid","","","","https://journals.humankinetics.com/view/journals/ijspp/ijspp-overview.xml","1926","1.61","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","102","No"
"International Journal of Stroke","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","International Journal of Stroke","","USA","https://journals.sagepub.com/home/wsoa","1271","1.917","Q1 (Neurology)","105","No"
"Interventional Neuroradiology","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","","World Federation of Interventional and Therapeutic Neuroradiology","","USA","https://journals.sagepub.com/home/inea","","0.625","Q2 (Cardiology and Cardiovascular Medicine; Radiology, Nuclear Medicine and Imaging)","46","No"
"Irish Journal of Psychological Medicine","Neurology and Psychiatry","Cambridge University Press (CUP)","University Press associated with a society","","the College of Psychiatrists of Ireland","","UK","https://www.cambridge.org/core/journals/irish-journal-of-psychological-medicine","","0.699","Q1 (History and Philosophy of Science)","37","No"
"JAMA","Clinical/Medicine","American Medical Association (AMA)","Non-profit","","","","USA","https://jamanetwork.com/journals/jama","","5.352","Q1 (Medicine)","794","No"
"JAMA Neurology","Neurology and Psychiatry","American Medical Association (AMA)","Non-profit","Hybrid","American Medical Association (AMA)","Society","USA","https://jamanetwork.com/journals/jamaneurology","4372","6.237","Q1 (Neurology)","284","No"
"JAMA Psychiatry","Neurology and Psychiatry","American Medical Association (AMA)","Non-profit","Hybrid","American Medical Association (AMA)","Society","USA","https://jamanetwork.com/journals/jamapsychiatry","4822","5.755","Q1 (Medicine; Psychiatry and Mental Health)","417","No"
"Journal of Affective Disorders","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","International Society for Affective Disorders","Society","Netherlands","https://www.journals.elsevier.com/journal-of-affective-disorders","2842","2.121","Q1 (Clinical Psychology; Psychiatry and Mental Health)","245","No"
"Journal of Affective Disorders Reports","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","International Society for Affective Disorders","Society","Netherlands","https://www.sciencedirect.com/journal/journal-of-affective-disorders-reports","1647","0.904","Q2 (Clinical Psychology; Psychiatry and Mental Health)","34","No"
"Journal of Aging Research","Aging","John Wiley & Sons","For-profit","OA","","","UK","https://onlinelibrary.wiley.com/journal/9025","673","0.633","Q3 (Geriatrics and Gerontology)","61","No"
"Journal of Aging Studies","Aging","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/journal-of-aging-studies","1785","0.765","Q1 (Issues, Ethics and Legal Aspects)","86","No"
"Journal of Aging and Health","Aging","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/jah","269","1.143","Q1 (Community and Home Care; Gerontology; Health; Life-span and Life-course Studies; Sociology and Political Science)","93","No"
"Journal of Alzheimer's Disease","Neurology and Psychiatry","Sage Publishing (IOS Press)","For-profit","Hybrid","","","UK / Germany","https://journals.sagepub.com/home/alz","1642","1.166","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health)","188","No"
"Journal of Applied Physiology","Physiology","American Physiological Society","Non-profit","Hybrid","American Physiological Society","Society","USA","https://journals.physiology.org/journal/jappl","2029","1.078","Q1 (Medicine)","268","No"
"Journal of Attention Disorders","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","American Professional Society of ADHD and Related Disorders (APSARD)","Society","USA","https://journals.sagepub.com/home/JAD","1137","1.212","Q1 (Clinical Psychology; Developmental and Educational Psychology)","93","No"
"Journal of Autism and Developmental Disorders","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/10803","2798","1.233","Q1 (Developmental and Educational Psychology)","217","No"
"Journal of Behavioral Addictions","Neurology and Psychiatry","Wolters Kluwer (Akadémiai Kiadó (AK) Journals)","For-profit associated with a society","OA","International Society of Addiction Journal Editors (ISAJE)","Society","Hungary","https://akjournals.com/view/journals/2006/2006-overview.xml","810","2.26","Q1 (Clinical Psychology; Medicine; Psychiatry and Mental Health)","88","No"
"Journal of Biological Rhythms","Physiology","Sage Publishing","For-profit associated with a society","Hybrid","Society for Research on Biological Rhythms","Society","USA","https://journals.sagepub.com/home/jbr","1603","1.2","Q1 (Physiology)","118","No"
"Journal of Breath Research","Physiology","Institute of Physics (IOP) Publishing","Non-profit","Hybrid","International Association for Breath Research (IABR)","Society","UK","https://iopscience.iop.org/journal/1752-7163","1808","0.863","Q2 (Pulmonary and Respiratory Medicine)","70","No"
"Journal of Cachexia Sarcopenia Muscle","Clinical/Medicine","John Wiley & Sons","For-profit associated with a society","OA","Society on Sarcopenia, Cachexia and Wasting Disorders","Society","USA","https://onlinelibrary.wiley.com/journal/1353921906009","2814","3.416","Q1 (Orthopedics and Sports Medicine; Physiology)","112","No"
"Journal of Central Nervous System Disease","Neurology and Psychiatry","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/cnsa","2294","1.016","Q2 (Cellular and Molecular Neuroscience; Neurology)","15","No"
"Journal of Comparative Physiology A Neuroethology Sensory Neural and Behavioral Physiology","Physiology","Springer Nature","For-profit","","","","Germany / UK","https://link.springer.com/journal/359","","0.637","Q1 (Animal Science and Zoology)","106","No"
"Journal of Comparative Physiology B Biochemical Systemic and Environmental Physiology","Physiology","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/360","","0.533","Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)","95","No"
"Journal of Eating Disorders","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://jeatdisord.biomedcentral.com/","1294","1.243","Q1 (Behavioral Neuroscience; Nutrition and Dietetics; Psychiatry and Mental Health)","54","No"
"Journal of Ethnicity in Substance Abuse","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/wesa20","2020","0.442","Q2 (Health)","38","No"
"Journal of General Physiology","Physiology","Rockefeller University Press","University Press associated with a society","Hybrid","Society of General Physiologists","Society","","https://rupress.org/jgp","3108","1.382","Q1 (Physiology)","143","No"
"Journal of Geriatric Psychiatry and Neurology","Neurology and Psychiatry","Sage Publishing","For-profit","","","","USA","https://journals.sagepub.com/home/jgpb","","1.05","Q2 (Geriatrics and Gerontology; Neurology; Psychiatry and Mental Health)","82","No"
"Journal of Global Health","Generalist","International Society of Global Health","Non-profit","OA","International Society of Global Health","Society","USA","https://jogh.org/","2085","1.172","Q1 (Health Policy; Public Health, Environmental and Occupational Health)","71","No"
"Journal of Multiple Sclerosis Research","Neurology and Psychiatry","Multiple Sclerosis Research Association","Non-profit","","Multiple Sclerosis Research Association","Society","Turkey","https://jmsres.com/","","","","","No"
"Journal of Nervous and Mental Disease","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","Hybrid","","","Netherlands / USA","https://journals.lww.com/jonmd/pages/currenttoc.aspx","3405","0.593","Q3 (Psychiatry and Mental Health)","142","No"
"Journal of Neuro-Oncology","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/11060","3958","1.139","Q1 (Neurology)","141","No"
"Journal of Neuroengineering and Rehabilitation","Neurology and Psychiatry","Springer Nature (BioMed Central)","For-profit","OA","","","UK","https://jneuroengrehab.biomedcentral.com/","2360","1.287","Q1 (Health Informatics; Rehabilitation)","129","No"
"Journal of Neurologic Physical Therapy","Neurology and Psychiatry","Wolters Kluwer (Lippincott)","For-profit","","","","Netherlands / USA","https://journals.lww.com/jnpt/pages/default.aspx","","0.956","Q1 (Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Rehabilitation)","67","No"
"Journal of Neurology","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://link.springer.com/journal/415","3370","1.687","Q1 (Neurology)","168","No"
"Journal of Neurology, Neurosurgery and Psychiatry","Neurology and Psychiatry","BMJ Group","Non-profit","Hybrid","British Medical Association","Society","UK","https://jnnp.bmj.com/","3386","3.379","Q1 (Neurology; Psychiatry and Mental Health; Surgery)","244","No"
"Journal of Neuropathology and Experimental Neurology","Neurology and Psychiatry","Oxford University Press (OUP)","University Press","Hybrid","","","UK","https://academic.oup.com/jnen","2882","1.101","Q1 (Medicine; Neurology; Pathology and Forensic Medicine)","182","No"
"Journal of Neurotrauma","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","Hybrid","National Neurotrauma Society; European Neurotrauma Society; International Neurotrauma Society","Society","USA","https://journals.sagepub.com/home/nrta","2862","1.542","Q1 (Neurology)","179","No"
"Journal of Obsessive and Compulsive Related Disorders","Neurology and Psychiatry","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/journal/journal-of-obsessive-compulsive-and-related-disorders","","0.829","Q2 (Clinical Psychology; Psychiatry and Mental Health)","44","No"
"Journal of Parkinson's Disease","Neurology and Psychiatry","Sage Publishing","For-profit","OA","","","USA","https://journals.sagepub.com/home/pkna","2090","1.743","Q1 (Cellular and Molecular Neuroscience; Neurology)","75","No"
"Journal of Physical Activity and Health","Sport Science","Human Kinetics","For-profit associated with a society","Hybrid","International Society for Physical Activity and Health","Society","","https://journals.humankinetics.com/view/journals/jpah/jpah-overview.xml","2043","1.082","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Public Health, Environmental and Occupational Health)","93","No"
"Journal of Physiology","Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","The Physiology Society","Society","USA","https://physoc.onlinelibrary.wiley.com/journal/14697793","2697","1.715","Q1 (Physiology; Sports Science)","274","No"
"Journal of Prevention of the Alzheimer's Disease","Neurology and Psychiatry","Elsevier","For-profit","OA","","","Netherlands","https://www.sciencedirect.com/journal/the-journal-of-prevention-of-alzheimers-disease","","","Q1","41","No"
"Journal of Psychiatric Research","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/journal-of-psychiatric-research","3038","1.487","Q1 (Biological Psychiatry; Psychiatry and Mental Health)","172","No"
"Journal of Psychiatry and Neuroscience","Neurology and Psychiatry","Canadian Science Publishing","For-profit","OA","","","","https://cdnsciencepub.com/journal/jpn","1721","1.326","Q1 (Medicine; Pharmacology; Psychiatry and Mental Health)","116","No"
"Journal of Research in Medical Sciences","Clinical/Medicine","Wolters Kluwer (Lippincott)","For-profit associated with a society","OA","Isfahan University of Medical Sciences","","India","https://journals.lww.com/jrms/pages/default.aspx","","0.437","Q3 (Medicine)","59","No"
"Journal of Science and Medicine in Sport","Sport Science","Elsevier","For-profit associated with a society","Hybrid","Sports Medicine Australia (SMA); Australasian Academy of Podiatric Sports Medicine (AAPSM); Exercise and Sports Science Australia (ESSA); Australian Physiotherapy Association - Sports Physiotherapy Australia (SPA); College of Sport Psychologists (COSP); Sports Dietitians Australia (SDA); Australasian College of Sports & Exercise Physicians (ACSEP)","Society","Netherlands","https://www.sciencedirect.com/journal/journal-of-science-and-medicine-in-sport","2364","1.319","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","133","No"
"Journal of Spinal Cord Medicine","Neurology and Psychiatry","Taylor & Francis Group","For-profit","","","","UK","https://www.tandfonline.com/journals/yscm20","","0.539","Q3 (Neurology)","81","No"
"Journal of Sport and Health Science","Sport Science","Elsevier","For-profit","OA diamond","Shanghai University of Sport","","Netherlands","https://www.sciencedirect.com/journal/journal-of-sport-and-health-science","0","3.197","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation)","76","No"
"Journal of Stroke","Neurology and Psychiatry","Korean Stroke Society","Non-profit","OA diamond","Korean Stroke Society","Society","Korea, Republic of","https://www.j-stroke.org/","0","2.702","Q1 (Cardiology and Cardiovascular Medicine; Neurology)","54","No"
"Journal of Stroke and Cerebrovascular Diseases","Neurology and Psychiatry","Elsevier","For-profit","OA","","","USA","https://www.sciencedirect.com/journal/journal-of-stroke-and-cerebrovascular-diseases","2999","0.688","Q1 (Rehabilitation)","85","No"
"Journal of Studies on Alcohol and Drugs","Neurology and Psychiatry","Alcohol Research Documentation, Inc.","Non-profit","Hybrid","Rutgers University’s Center of Alcohol and Substance Use Studies","","","https://www.jsad.com/","3225","0.838","Q1 (Health)","141","No"
"Journal of Substance Use","Neurology and Psychiatry","Taylor & Francis Group","For-profit","Hybrid","","","UK","https://www.tandfonline.com/journals/ijsu20","664","0.324","Q3 (Health; Medicine)","37","No"
"Journal of Wildlife Diseases","Ecology","Wildlife Disease Association (WDA)","Non-profit","Hybrid","Wildlife Disease Association (WDA)","Society","","https://meridian.allenpress.com/jwd","1403","0.443","Q2 (Ecology; Ecology, Evolution, Behavior and Systematics)","81","No"
"Journal of the National Medical Association","Clinical/Medicine","Elsevier","For-profit associated with a society","OA","National Medical Association","Society","Netherlands","https://www.sciencedirect.com/journal/journal-of-the-national-medical-association","","0.813","Q2 (Medicine)","87","No"
"Journal of the Neurological Sciences","Neurology and Psychiatry","Elsevier","For-profit associated with a society","Hybrid","World Federation of Neurology","","Netherlands","https://www.sciencedirect.com/journal/journal-of-the-neurological-sciences","2992","1.145","Q1 (Neurology)","158","No"
"Journal of the Royal Society of Medicine","Clinical/Medicine","Sage Publishing","For-profit associated with a society","OA","The Royal Society of Medicine","Society","USA","https://journals.sagepub.com/home/jrs","1279","1.714","Q1 (Medicine)","97","No"
"L'encéphale","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/lencephale","1648","0.358","Q2","56","No"
"La revue neurologique","Neurology and Psychiatry","Elsevier","For-profit associated with a society","OA","Société Française de Neurologie","Society","Netherlands","https://www.sciencedirect.com/journal/revue-neurologique","","0.753","Q2 (Neurology)","61","No"
"Mechanisms of Ageing and Development","Aging","Elsevier","For-profit associated with a society","Hybrid","European Society of Preventive, Regenerative and Anti-aging Medicine (ESAAM)","Society","Netherlands","https://www.journals.elsevier.com/mechanisms-of-ageing-and-development","3544","1.83","Q1 (Aging; Developmental Biology)","139","No"
"Med","Clinical/Medicine","Elsevier (Cell Press)","For-profit","","","","USA","https://www.sciencedirect.com/journal/med","","3.815","Q1 (Medicine)","42","No"
"Medical Clinics of North America","Clinical/Medicine","Elsevier","For-profit","","","","Netherlands","https://www.sciencedirect.com/journal/medical-clinics-of-north-america","","1.521","Q1 (Medicine)","115","No"
"Medical Journal of Australia","Clinical/Medicine","John Wiley & Sons","For-profit associated with a society","OA","Australasian Medical Association","Society","USA","https://www.mja.com.au/","","1.513","Q1 (Medicine)","156","No"
"Medicinal Research Reviews","Clinical/Medicine","John Wiley & Sons","For-profit","Hybrid","","","USA","https://onlinelibrary.wiley.com/journal/10981128","3077","3.169","Q1 (Drug Discovery; Molecular Medicine; Pharmacology)","157","No"
"Medicine and Science in Sports and Exercise","Clinical/Medicine","American College of Sports Medicine (ACSM)","Non-profit","Hybrid","","","","https://acsm.org/education-resources/journals/medicine-science-in-sports-exercise/","3539","1.442","Q1 (Orthopedics and Sports Medicine; Physical Therapy, Sports Therapy and Rehabilitation; Sports Science)","271","No"
"Movement Disorders","Neurology and Psychiatry","John Wiley & Sons","For-profit associated with a society","Hybrid","International Parkinson and Movement Disorder Society","Society","USA","https://movementdisorders.onlinelibrary.wiley.com/journal/15318257","2135","2.988","Q1 (Neurology)","238","No"
"Multiple Sclerosis Journal","Neurology and Psychiatry","Sage Publishing","For-profit","Hybrid","","","USA","https://journals.sagepub.com/home/msja","2542","1.938","Q1 (Neurology)","160","No"
"Multiple Sclerosis Journal‚ Experimental, Translational and Clinical","Neurology and Psychiatry","Sage Publishing","For-profit associated with a society","OA","Americas Committee for Treatment and Research in Multiple Sclerosis; the European Committee for Treatment and Research in Multiple Sclerosis; the Latin American Committee for Treatment and Research in Multiple Sclerosis & the Pan-Asian Committee for Treatment; Research in Multiple Sclerosis or Rehabilitation in Multiple Sclerosis","","USA","https://journals.sagepub.com/home/msoa","1339","0.738","Q2 (Neurology)","34","No"
"Multiple Sclerosis and Related Disorders","Neurology and Psychiatry","Elsevier","For-profit","Hybrid","","","Netherlands","https://www.sciencedirect.com/journal/multiple-sclerosis-and-related-disorders","1192","1.05","Q1 (Medicine)","70","No"
"Médecine","Clinical/Medicine","John Libbey Eurotext","For-profit","","","","France","https://www.jle.com/fr/revues/med/revue.phtml","","","","","No"
"Médecine/Sciences","Clinical/Medicine","China Science Publishing & Media","For-profit associated with a society","","Inserm/Société de la revue médecine/sciences (SRMS)","Society","France/Canada","https://www.medecinesciences.org","","0.144","Q4 (Biochemistry, Genetics and Molecular Biology; Medicine)","32","No"
"NPJ Parkinson's Disease","Neurology and Psychiatry","Springer Nature","For-profit","OA","Parkinson's Foundation","","Germany/UK","https://www.nature.com/npjparkd/","2788","2.914","Q1 (Cellular and Molecular Neuroscience; Neurology)","56","No"
"Nature Aging","Aging","Springer Nature","For-profit","Hybrid","","","Germany / UK","https://www.nature.com/nataging","10439","7.081","Q1 (Aging; Geriatrics and Gerontology; Neuroscience)","51","No"
"Nature Medicine","Clinical/Medicine","Springer Nature","For-profit","Hybrid","","","Germany/UK","https://www.nature.com/nm/","9498","18.333","Q1 (Biochemistry, Genetics and Molecular Biology; Medicine)","653","No"
"Nature Mental Health","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany","https://www.nature.com/natmentalhealth/","10690","2.613","Q1 (Biological Psychiatry; Molecular Medicine; Neuroscience; Psychiatry and Mental Health)","13","No"
"Nature Reviews Neurology","Neurology and Psychiatry","Springer Nature","For-profit","Hybrid","","","Germany/UK","https://www.nature.com/nrneurol/","","5.828","Q1 (Cellular and Molecular Neuroscience; Neurology)","225","No"
