Journal,Publisher,Business model,APC 2019 (€),APC 2020 (€),APC 2021 (€),APC 2022 (€),APC 2023 (€),APC (€)
Current Opinion in Plant Biology,Elsevier,Hybrid,3839,3770,3760,3970,4260,4260
Current Opinion in Psychology,Elsevier,Hybrid,3348,1911,2560,3030,3510,3510
Current Opinion in Solid State & Materials Science,Elsevier,Hybrid,3348,2735,2930,3480,3620,3620
Current Opinion in Structural Biology,Elsevier,Hybrid,3928,3858,3850,3850,4130,4130
Current Opinion in Systems Biology,Elsevier,Hybrid,3526,3463,2630,2710,3190,3190
Current Opinion in Toxicology,Elsevier,Hybrid,,,3140,3250,3760,3760
Current Opinion in Virology,Elsevier,Hybrid,3348,3288,3120,2960,3170,3170
Current Plant Biology,Elsevier,OA,1696,1665,1790,1790,2250,2250
Current Problems in Cancer,Elsevier,Hybrid,2232,2192,2630,2710,2610,2610
Current Problems in Cancer: Case Reports,Elsevier,OA,,,570,570,590,590
Current Problems in Cardiology,Elsevier,Hybrid,2142,2516,2630,2880,3090,3090
Current Problems in Diagnostic Radiology,Elsevier,Hybrid,2232,2192,2520,2750,2860,2860
Current Problems in Pediatric and Adolescent Health Care,Elsevier,Hybrid,1785,2148,2760,2840,3320,3320
Current Problems in Surgery,Elsevier,Hybrid,2410,2367,2790,2790,3000,3000
Current Research in Behavioral Sciences,Elsevier,OA,,,2190,2190,2280,2280
Current Research in Biotechnology,Elsevier,OA,1116,1096,2190,2190,2080,2080
Current Research in Cell Biology,Elsevier,OA,1116,1096,2190,,,2190
Current Research in Chemical Biology,Elsevier,OA,,,1620,1620,1690,1690
Current Research in Ecological and Social Psychology,Elsevier,OA,,,2190,2190,2280,2280
Current Research in Environmental Sustainability,Elsevier,OA,,,1530,1530,1600,1600
Current Research in Food Science,Elsevier,OA,1116,1096,2190,2190,2280,2280
Current Research in Genetics & Development,Elsevier,OA,,,2190,,,2190
Current Research in Green and Sustainable Chemistry,Elsevier,OA,,,1970,1970,2130,2130
Current Research in Immunology,Elsevier,OA,1116,1096,2190,2190,2280,2280
Current Research in Insect Science,Elsevier,OA,,,1400,1400,1460,1460
Current Research in Microbial Sciences,Elsevier,OA,,,2190,2190,2280,2280
Current Research in Neurobiology,Elsevier,OA,,1096,2190,2190,2280,2280
Current Research in Parasitology & Vector-Borne Diseases,Elsevier,OA,,,1660,1660,1730,1730
Current Research in Pharmacology and Drug Discovery,Elsevier,OA,1116,1096,2190,2190,2280,2280
Current Research in Physiology,Elsevier,OA,1116,1096,2190,2190,2280,2280
Current Research in Structural Biology,Elsevier,OA,,,2190,2190,2280,2280
Current Research in Toxicology,Elsevier,OA,,,2190,2190,1940,1940
Current Research in Translational Medicine,Elsevier,Hybrid,1785,2480,2140,2690,2880,2880
Current Research in Virological Science,Elsevier,OA,,,2190,2190,,2190
Current Research in Virology,Elsevier,OA,,1096,,,,1096
Current Therapeutic Research,Elsevier,OA,1339,1315,1310,1550,1820,1820
Currents in Pharmacy Teaching and Learning,Elsevier,Hybrid,2232,2042,1940,2000,2680,2680
Cytokine,Elsevier,Hybrid,,,2980,2830,2650,2650
Cytokine & Growth Factor Reviews,Elsevier,Hybrid,,,3190,3480,3740,3740
Cytokine and Growth Factor Reviews,Elsevier,Hybrid,2857,2805,,,,2805
Cytokine: X,Elsevier,OA,3035,2981,1740,1740,,1740
Cytotherapy,Elsevier,Hybrid,2946,2893,2890,2890,3010,3010
DNA Repair,Elsevier,Hybrid,3303,2919,3060,3620,3440,3440
Data & Knowledge Engineering,Elsevier,Hybrid,2767,2718,2500,2570,2360,2360
Data and Information Management,Elsevier,OA,,,,1180,1230,1230
Data in Brief,Elsevier,OA,446,438,610,440,480,480
DeCarbon,Elsevier,OA,,,,,2010,2010
Decision Analytics Journal,Elsevier,OA,,,,1310,1370,1370
Decision Support Systems,Elsevier,Hybrid,1160,1139,2190,2590,2990,2990
Deep Brain Stimulation,Elsevier,OA,,,,,2280,2280
Deep-Sea Research Part I: Oceanographic Research Papers,Elsevier,Hybrid,3080,3025,2630,2630,2740,2740
Deep-Sea Research Part II: Topical Studies in Oceanography,Elsevier,Hybrid,3035,2981,2800,2890,3100,3100
Dementia Science - Cognition and Behavior,Elsevier,OA,,745,,,,745
Dendrochronologia,Elsevier,Hybrid,1517,1490,2080,2400,2710,2710
Dental Abstracts,Elsevier,Hybrid,2678,2630,,,,2630
Dental Clinics of North America,Elsevier,Hybrid,2678,2130,2630,,,2630
Dental Materials,Elsevier,Hybrid,2678,2630,2890,3320,3800,3800
Dentistry Review,Elsevier,OA,,,,1710,1780,1780
Dermatologic Clinics,Elsevier,Hybrid,2678,2981,2980,,,2980
Desalination,Elsevier,Hybrid,3214,2849,3280,3590,4180,4180
Design Studies,Elsevier,Hybrid,2544,2498,2890,3060,3190,3190
Development Engineering,Elsevier,OA,1339,1578,1580,1940,2020,2020
Developmental & Comparative Immunology,Elsevier,Hybrid,3035,2683,2680,2930,3060,3060
Developmental Biology,Elsevier,Hybrid,2232,2192,2810,3130,3370,3370
Developmental Cell,Elsevier,Hybrid,4642,4559,7600,7600,8120,8120
Developmental Cognitive Neuroscience,Elsevier,OA,2232,2192,2410,2730,2990,2990
Developmental Review,Elsevier,Hybrid,1607,2630,3320,3710,4200,4200
Developments in the Built Environment,Elsevier,OA,,876,1740,1740,2110,2110
Diabetes & Metabolic Syndrome: Clinical Research & Reviews,Elsevier,Hybrid,2678,2630,2360,2360,3080,3080
Diabetes & Metabolism,Elsevier,Hybrid,,,2660,3160,3520,3520
Diabetes & Metabolism: X,Elsevier,OA,2321,2600,,,,2600
Diabetes Epidemiology and Management,Elsevier,OA,,,2000,2000,2000,2000
Diabetes Research and Clinical Practice,Elsevier,Hybrid,3035,2981,2980,3370,3620,3620
Diagnostic Histopathology,Elsevier,Hybrid,2500,2455,2360,,,2360
Diagnostic Microbiology and Infectious Disease,Elsevier,Hybrid,2500,2455,2330,2400,2830,2830
Diagnostic and Interventional Imaging,Elsevier,Hybrid,2678,1000,1740,2160,2790,2790
Dialogues in Health,Elsevier,OA,,,,960,1000,1000
Diamond and Related Materials,Elsevier,Hybrid,2232,2192,2100,2100,2190,2190
Differential Geometry and its Applications,Elsevier,Hybrid,1339,1315,2020,2300,2400,2400
Differentiation,Elsevier,Hybrid,2678,2630,2630,2630,2740,2740
Digestive and Liver Disease,Elsevier,Hybrid,2678,2630,2890,2890,3010,3010
Digital Applications in Archaeology and Cultural Heritage,Elsevier,Hybrid,1785,2148,2150,2650,2850,2850
Digital Business,Elsevier,OA,,,1310,1310,1370,1370
Digital Chemical Engineering,Elsevier,OA,,,,1580,1640,1640
Digital Geography and Society,Elsevier,OA,,,1050,1050,1090,1090
Digital Investigation,Elsevier,Hybrid,2455,,,,,2455
Digital Signal Processing,Elsevier,Hybrid,2142,1648,1850,1900,2260,2260
Disability and Health Journal,Elsevier,Hybrid,1428,1402,2710,2970,3350,3350
"Discourse, Context & Media",Elsevier,Hybrid,1607,2060,2190,2710,3230,3230
Discrete Applied Mathematics,Elsevier,Hybrid,1428,1402,2270,2490,2510,2510
Discrete Mathematics,Elsevier,Hybrid,1339,1622,2190,2550,2740,2740
Discrete Optimization,Elsevier,Hybrid,1339,1446,1860,2240,2330,2330
Disease-A-Month,Elsevier,Hybrid,,,2330,2390,2910,2910
Disease-a-Month,Elsevier,Hybrid,1785,1753,,,,1753
Displays,Elsevier,Hybrid,2142,1955,2100,2160,2250,2250
Domestic Animal Endocrinology,Elsevier,Hybrid,2678,2630,2810,2810,2930,2930
Douleurs,Elsevier,Hybrid,,,2290,2290,2290,2290
Douleurs Evaluation - Diagnostic - Traitement,Elsevier,Hybrid,2678,3000,,,,3000
"Droit, Deontologie & Soin",Elsevier,Hybrid,1339,1500,1420,,,1420
Drug Discovery Today,Elsevier,Hybrid,3794,3726,4100,4220,4400,4400
Drug Discovery Today: Disease Models,Elsevier,Hybrid,3348,2253,,,,2253
Drug Discovery Today: Technologies,Elsevier,Hybrid,3348,3288,3410,,,3410
Drug Metabolism and Pharmacokinetics,Elsevier,Hybrid,2678,2630,3050,3130,3270,3270
Drug Resistance Updates,Elsevier,Hybrid,3035,2981,4070,4190,4500,4500
Drug and Alcohol Dependence,Elsevier,Hybrid,2991,2937,3230,3230,3730,3730
Drug and Alcohol Dependence Reports,Elsevier,OA,,,,1750,1820,1820
Dyes and Pigments,Elsevier,Hybrid,2946,2297,2640,2640,2830,2830
Dynamics of Atmospheres and Oceans,Elsevier,Hybrid,2232,1823,2120,2120,2210,2210
EBioMedicine,Elsevier,OA,3125,3068,3060,,,3060
EClinicalMedicine,Elsevier,OA,3125,3068,3060,,,3060
EFB Bioeconomy Journal,Elsevier,OA,,,1580,1580,1640,1640
EJC Paediatric Oncology,Elsevier,OA,,,,,2010,2010
EJC Skin Cancer,Elsevier,OA,,,,,2010,2010
EJVES Short Reports,Elsevier,OA,446,438,,,,438
EJVES Vascular Forum,Elsevier,OA,,,1430,1430,1490,1490
ESMO Open,Elsevier,OA,,,2750,3000,3000,3000
EURO Journal on Computational Optimization,Elsevier,OA,,,1230,1230,1280,1280
EURO Journal on Decision Processes,Elsevier,OA,,,1230,1230,1280,1280
EURO Journal on Transportation and Logistics,Elsevier,OA,,,1230,1230,1280,1280
EXPLORE,Elsevier,Hybrid,1517,1902,1900,1960,1980,1980
Early Childhood Research Quarterly,Elsevier,Hybrid,1919,1885,2640,3040,3330,3330
Early Human Development,Elsevier,Hybrid,2410,2367,2520,2920,3140,3140
Earth System Governance,Elsevier,OA,1160,1139,1140,1140,1250,1250
Earth and Planetary Science Letters,Elsevier,Hybrid,2857,2805,3080,3400,3650,3650
Earth-Science Reviews,Elsevier,Hybrid,3348,3288,3410,3610,4140,4140
Eating Behaviors,Elsevier,Hybrid,1785,1753,2310,2740,2940,2940
Eco-Environment & Health,Elsevier,OA,,,,1930,2010,2010
Ecohydrology & Hydrobiology,Elsevier,Hybrid,2678,3000,1800,1800,1800,1800
Ecological Complexity,Elsevier,Hybrid,2232,1964,2160,2220,2390,2390
Ecological Economics,Elsevier,Hybrid,3437,3375,3130,3130,3370,3370
Ecological Engineering,Elsevier,Hybrid,,,2980,3060,3190,3190
Ecological Engineering: X,Elsevier,OA,2321,2279,,,,2279
Ecological Genetics and Genomics,Elsevier,Hybrid,2455,2411,2010,2080,2230,2230
Ecological Indicators,Elsevier,OA,,,2190,2190,2370,2370
Ecological Indicators,Elsevier,Hybrid,3035,2709,,,,2709
Ecological Informatics,Elsevier,Hybrid,2232,1937,1940,2000,2290,2290
Ecological Modelling,Elsevier,Hybrid,2901,2849,2540,2430,2540,2540
Econometrics and Statistics,Elsevier,Hybrid,,,1100,1350,1400,1400
Economic Analysis and Policy,Elsevier,Hybrid,1607,1578,1580,1580,2050,2050
Economic Modelling,Elsevier,Hybrid,803,789,1580,1940,2400,2400
Economic Systems,Elsevier,Hybrid,982,964,960,1350,1590,1590
Economics & Human Biology,Elsevier,Hybrid,,,2270,2340,2510,2510
Economics Letters,Elsevier,Hybrid,1071,1052,1740,1990,2450,2450
Economics and Human Biology,Elsevier,Hybrid,1607,2270,,,,2270
Economics of Education Review,Elsevier,Hybrid,1741,1709,1710,2050,2200,2200
Economics of Transportation,Elsevier,Hybrid,1607,1701,1700,1750,1820,1820
Ecosystem Services,Elsevier,Hybrid,2946,2893,3480,3480,3610,3610
Ecotoxicology and Environmental Safety,Elsevier,Hybrid,2366,2323,,,,2323
Ecotoxicology and Environmental Safety,Elsevier,OA,,,2280,2280,2460,2460
Educaci�n M�dica,Elsevier,OA,,,,500,500,500
Education for Chemical Engineers,Elsevier,Hybrid,2678,2630,2930,2930,3060,3060
Educational Research Review,Elsevier,Hybrid,1830,1797,2580,3200,3710,3710
Egyptian Informatics Journal,Elsevier,OA,,,880,880,1090,1090
Electoral Studies,Elsevier,Hybrid,1741,1709,2380,2380,2490,2490
Electric Power Systems Research,Elsevier,Hybrid,2321,2279,2190,2260,2260,2260
Electric Power Systems Research: X,Elsevier,OA,2321,,,,,2321
Electrochemistry Communications,Elsevier,OA,2723,1271,1710,1760,2020,2020
Electrochimica Acta,Elsevier,Hybrid,3035,2832,2830,3120,3530,3530
Electronic Commerce Research and Applications,Elsevier,Hybrid,1696,1972,1970,2370,2780,2780
Electronic Journal of Biotechnology,Elsevier,OA,892,876,,,1370,1370
Electronic Notes in Discrete Mathematics,Elsevier,Hybrid,2678,2630,,,,2630
Emergency Medicine Clinics of North America,Elsevier,Hybrid,2678,2192,2410,,,2410
Emerging Animal Species,Elsevier,OA,,,,1660,1730,1730
Emerging Contaminants,Elsevier,OA,1339,1315,,,,1315
Emerging Markets Review,Elsevier,Hybrid,982,1446,2500,2500,2600,2600
"Emerging Trends in Drugs, Addictions, and Health",Elsevier,OA,,,1740,1740,1820,1820
"Emotion, Space and Society",Elsevier,Hybrid,1785,1753,2330,2600,2960,2960
Endeavour,Elsevier,Hybrid,669,1446,2190,2490,2590,2590
Endocrine Practice,Elsevier,OA,,,2630,,,2630
Endocrine Practice,Elsevier,Hybrid,,,,2630,2740,2740
Endocrine and Metabolic Science,Elsevier,OA,,1096,2190,2190,2280,2280
"Endocrinologia, Diabetes y Nutricion",Elsevier,Hybrid,1339,1500,1500,1500,1500,1500
"Endocrinologia, Diabetes y Nutricion (English edition)",Elsevier,Hybrid,2678,2630,,1500,,1500
Endocrinology and Metabolism Clinics of North America,Elsevier,Hybrid,2678,2630,3100,,,3100
Energy,Elsevier,Hybrid,2857,2805,2980,3250,3630,3630
Energy & Buildings,Elsevier,Hybrid,2767,2718,,,,2718
Energy Conversion and Management,Elsevier,Hybrid,,,2710,3210,3790,3790
Energy Conversion and Management: X,Elsevier,OA,2767,2718,1580,1580,1980,1980
Energy Economics,Elsevier,Hybrid,1830,1797,2370,2810,3020,3020
Energy Nexus,Elsevier,OA,,,1620,1620,1690,1690
Energy Policy,Elsevier,Hybrid,2812,2761,2760,2840,3050,3050
Energy Reports,Elsevier,OA,1696,1665,1830,1960,2150,2150
Energy Research & Social Science,Elsevier,Hybrid,2544,2498,2580,2890,3010,3010
Energy Reviews,Elsevier,OA,,,,,2280,2280
Energy Storage Materials,Elsevier,Hybrid,1692,1895,2780,3140,3710,3710
Energy Strategy Reviews,Elsevier,OA,2232,2192,2220,2260,2720,2720
Energy and AI,Elsevier,OA,,1315,2630,2630,2740,2740
Energy and Buildings,Elsevier,Hybrid,,,2920,3310,3550,3550
Energy and Climate Change,Elsevier,Hybrid,,,,2410,2550,2550
Energy and Climate Change,Elsevier,OA,,,2410,,,2410
Energy for Sustainable Development,Elsevier,Hybrid,2455,2411,2410,2410,2510,2510
EnergyChem,Elsevier,Hybrid,,,1640,,1790,1790
Enfermedades Infecciosas y Microbiologia Clinica,Elsevier,Hybrid,2678,2200,2080,2080,2080,2080
Enfermeria Clinica,Elsevier,Hybrid,1339,1500,2190,2190,2190,2190
Enfermer�a Cl�nica (English Edition),Elsevier,Hybrid,,,2190,2190,,2190
Enfermer�a Intensiva,Elsevier,Hybrid,,,1490,1490,1860,1860
Enfermer�a intensiva,Elsevier,Hybrid,2678,2630,,,,2630
Engineering,Elsevier,OA,,,880,880,910,910
Engineering Analysis with Boundary Elements,Elsevier,Hybrid,2232,2192,2190,2640,3250,3250
Engineering Applications of Artificial Intelligence,Elsevier,Hybrid,2142,2279,2280,2350,2890,2890
Engineering Failure Analysis,Elsevier,Hybrid,2232,2455,2730,2810,3170,3170
Engineering Fracture Mechanics,Elsevier,Hybrid,2366,2323,2920,3000,3540,3540
Engineering Geology,Elsevier,Hybrid,2455,2411,2890,3270,3740,3740
Engineering Microbiology,Elsevier,OA,,,,2010,2100,2100
"Engineering Science and Technology, an International Journal",Elsevier,OA,,,,,1000,1000
Engineering Structures,Elsevier,Hybrid,2544,2498,3200,3510,3770,3770
"Engineering in Agriculture, Environment and Food",Elsevier,Hybrid,2678,2630,,,,2630
English for Specific Purposes,Elsevier,Hybrid,1607,2367,2360,2920,3350,3350
Entertainment Computing,Elsevier,Hybrid,2142,2104,2270,2540,2650,2650
Environment International,Elsevier,OA,3348,1534,3060,3160,3460,3460
Environmental Advances,Elsevier,OA,,,1530,1530,1600,1600
Environmental Challenges,Elsevier,OA,,,1580,1580,1640,1640
Environmental Development,Elsevier,Hybrid,2232,2542,2540,2540,2650,2650
Environmental Impact Assessment Review,Elsevier,Hybrid,2946,2893,2890,2980,3100,3100
Environmental Innovation and Societal Transitions,Elsevier,Hybrid,2455,2411,3140,3320,3110,3110
Environmental Modelling & Software,Elsevier,Hybrid,,,2710,2890,3100,3100
Environmental Modelling and Software,Elsevier,Hybrid,2946,2718,,,,2718
"Environmental Nanotechnology, Monitoring & Management",Elsevier,Hybrid,1741,2051,2050,2290,2700,2700
Environmental Pollution,Elsevier,Hybrid,3169,3112,3110,3200,3440,3440
Environmental Research,Elsevier,Hybrid,3169,3112,3110,3110,3240,3240
Environmental Science & Ecotechnology,Elsevier,OA,,,1750,1750,1820,1820
Environmental Science & Policy,Elsevier,Hybrid,3169,3112,3110,3270,3510,3510
Environmental Technology & Innovation,Elsevier,Hybrid,,,2290,,,2290
Environmental Technology & Innovation,Elsevier,OA,,,,2100,2190,2190
Environmental Toxicology and Pharmacology,Elsevier,Hybrid,2678,2630,3060,3140,3370,3370
Environmental and Experimental Botany,Elsevier,Hybrid,2678,2630,2630,3110,3340,3340
Environmental and Sustainability Indicators,Elsevier,OA,892,876,1400,1400,1330,1330
Enzyme and Microbial Technology,Elsevier,Hybrid,2678,2718,3060,3140,3270,3270
Epidemics,Elsevier,OA,1785,1753,2150,2380,2610,2610
Epilepsy & Behavior,Elsevier,Hybrid,2544,2498,2500,2570,3010,3010
Epilepsy & Behavior Reports,Elsevier,OA,625,710,700,1930,2110,2110
Epilepsy Research,Elsevier,Hybrid,2589,2542,2430,2500,2680,2680
"Estuarine, Coastal and Shelf Science",Elsevier,Hybrid,2901,2849,2630,2630,2960,2960
"Ethics, Medicine and Public Health",Elsevier,Hybrid,892,2200,2040,2100,2350,2350
Ethique & Sante,Elsevier,Hybrid,892,1000,1420,1420,1420,1420
EuPA Open Proteomics,Elsevier,OA,1517,1490,1490,1490,1550,1550
"European Annals of Otorhinolaryngology, Head and Neck Diseases",Elsevier,Hybrid,,,2360,2430,3010,3010
"European Annals of Otorhinolaryngology, Head and Neck diseases",Elsevier,Hybrid,1785,2000,,,,2000
European Economic Review,Elsevier,Hybrid,1741,,,2190,2650,2650
European Journal of Agronomy,Elsevier,Hybrid,3080,3025,3260,3350,3490,3490
European Journal of Cancer,Elsevier,Hybrid,3392,3331,3330,3330,3470,3470
European Journal of Cell Biology,Elsevier,OA,,,1840,1840,2210,2210
European Journal of Cell Biology,Elsevier,Hybrid,2232,2349,,,,2349
European Journal of Combinatorics,Elsevier,Hybrid,1339,1622,2120,2450,2630,2630
European Journal of Control,Elsevier,Hybrid,2678,2630,2500,2500,2600,2600
European Journal of Integrative Medicine,Elsevier,Hybrid,1607,1490,1490,1820,1900,1900
European Journal of Internal Medicine,Elsevier,Hybrid,2321,2279,2800,2800,3210,3210
European Journal of Mechanics - A/Solids,Elsevier,Hybrid,2232,2569,2570,3040,3480,3480
European Journal of Mechanics - B/Fluids,Elsevier,Hybrid,2232,2192,2460,2530,2640,2640
European Journal of Medical Genetics,Elsevier,Hybrid,2678,2630,2630,2630,2910,2910
European Journal of Medicinal Chemistry,Elsevier,Hybrid,3035,2981,3630,4000,4300,4300
European Journal of Medicinal Chemistry Reports,Elsevier,OA,,,1310,1310,1370,1370
European Journal of Obstetrics & Gynecology and Reproductive Biology,Elsevier,Hybrid,,,2710,2710,2830,2830
European Journal of Obstetrics & Gynecology and Reproductive Biology: X,Elsevier,OA,2232,2192,1840,1840,2020,2020
European Journal of Oncology Nursing,Elsevier,Hybrid,2232,2726,3130,3130,3260,3260
European Journal of Operational Research,Elsevier,Hybrid,1964,1929,2540,2540,3000,3000
European Journal of Paediatric Neurology,Elsevier,Hybrid,2455,2411,2570,2570,2680,2680
European Journal of Pharmaceutical Sciences,Elsevier,OA,,,,2010,2100,2100
European Journal of Pharmaceutical Sciences,Elsevier,Hybrid,3125,2919,3370,,,3370
European Journal of Pharmaceutics and Biopharmaceutics,Elsevier,Hybrid,2812,2761,3460,3740,3890,3890
European Journal of Pharmacology,Elsevier,Hybrid,2946,2893,2370,2440,2540,2540
European Journal of Political Economy,Elsevier,Hybrid,1741,1709,2530,2530,2890,2890
European Journal of Protistology,Elsevier,Hybrid,1696,1665,2790,2880,3000,3000
European Journal of Radiology,Elsevier,Hybrid,2678,2630,2630,3020,3240,3240
European Journal of Radiology Open,Elsevier,OA,1785,1341,1340,1540,1930,1930
European Journal of Soil Biology,Elsevier,Hybrid,2232,2604,2670,2750,2860,2860
European Journal of Surgical Oncology,Elsevier,Hybrid,2098,2350,2290,3130,3260,3260
European Journal of Trauma & Dissociation,Elsevier,Hybrid,1785,2000,1500,1500,1500,1500
European Journal of Vascular and Endovascular Surgery,Elsevier,Hybrid,2946,2893,2890,3110,3430,3430
European Management Journal,Elsevier,Hybrid,982,964,1350,1350,1970,1970
European Neuropsychopharmacology,Elsevier,Hybrid,2678,2630,2630,2630,2740,2740
European Polymer Journal,Elsevier,Hybrid,3035,3191,3190,3280,3520,3520
European Psychiatry,Elsevier,Hybrid,2678,2630,,,,2630
European Research on Management and Business Economics,Elsevier,OA,,,1230,1230,1230,1230
European Review of Applied Psychology,Elsevier,Hybrid,,,2130,2200,2480,2480
European Urology,Elsevier,Hybrid,4464,4384,4380,4380,4790,4790
European Urology Focus,Elsevier,Hybrid,2678,2630,3110,3110,3470,3470
European Urology Oncology,Elsevier,Hybrid,,,2590,2890,3460,3460
European Urology Open Science,Elsevier,OA,,,,1550,1640,1640
European Urology Supplements,Elsevier,Hybrid,2678,2630,,,,2630
Evaluation and Program Planning,Elsevier,Hybrid,1696,1665,2500,2810,3270,3270
Evolution and Human Behavior,Elsevier,Hybrid,2678,2630,2630,3040,3410,3410
Examples and Counterexamples,Elsevier,OA,,,290,290,300,300
Experimental Cell Research,Elsevier,Hybrid,2142,2104,2290,2550,2650,2650
Experimental Eye Research,Elsevier,Hybrid,2634,2586,2970,3280,3520,3520
Experimental Gerontology,Elsevier,Hybrid,2589,2542,2440,2520,,2520
Experimental Gerontology,Elsevier,OA,,,,,2550,2550
Experimental Hematology,Elsevier,Hybrid,2366,2323,2320,2320,2740,2740
Experimental Neurology,Elsevier,Hybrid,2812,2761,3120,3340,3480,3480
Experimental Parasitology,Elsevier,Hybrid,1964,2218,2220,2630,2930,2930
Experimental Thermal and Fluid Science,Elsevier,Hybrid,2366,2323,2700,2980,3540,3540
Experimental and Molecular Pathology,Elsevier,OA,,,,,1730,1730
Experimental and Molecular Pathology,Elsevier,Hybrid,2678,2121,2060,1950,,1950
Expert Systems with Applications,Elsevier,Hybrid,,,2310,2740,2940,2940
Expert Systems with Applications: X,Elsevier,OA,1964,1929,,,,1929
Explorations in Economic History,Elsevier,Hybrid,1875,1841,2470,2700,2890,2890
Exploratory Research in Clinical and Social Pharmacy,Elsevier,OA,,,1580,1580,1640,1640
Expositiones Mathematicae,Elsevier,Hybrid,1160,1139,1880,2130,2490,2490
Extracellular Vesicle,Elsevier,OA,,,,,2550,2550
Extreme Mechanics Letters,Elsevier,Hybrid,,,2950,3040,3070,3070
F&S Reports,Elsevier,OA,,,1750,1750,1820,1820
F&S Reviews,Elsevier,Hybrid,,,,3060,3190,3190
F&S Reviews,Elsevier,OA,,,3060,,,3060
F&S Science,Elsevier,Hybrid,,,,3060,3190,3190
F&S Science,Elsevier,OA,,,3060,,,3060
FMC - Formacion Medica Continuada en Atencion Primaria,Elsevier,Hybrid,2678,2630,,,,2630
Facial Plastic Surgery Clinics of North America,Elsevier,Hybrid,2678,2630,3140,,,3140
Farmacia Hospitalaria,Elsevier,OA,,,,,1500,1500
Farming System,Elsevier,OA,,,,,1640,1640
Fertility and Sterility,Elsevier,Hybrid,3125,3068,3060,3520,3670,3670
Field Crops Research,Elsevier,Hybrid,3169,3112,3480,3480,3620,3620
Finance Research Letters,Elsevier,Hybrid,1116,1096,1930,1990,2670,2670
Finite Elements in Analysis and Design,Elsevier,Hybrid,2232,2490,2490,2920,2810,2810
Finite Fields and Their Applications,Elsevier,Hybrid,1339,1481,1930,2360,2310,2310
Fire Safety Journal,Elsevier,Hybrid,2232,2428,2430,2920,3050,3050
First Nations Health and Wellbeing - The Lowitja Journal,Elsevier,OA,,,,,460,460
Fish and Shellfish Immunology,Elsevier,Hybrid,3392,3331,3330,3420,4030,4030
Fish and Shellfish Immunology Reports,Elsevier,OA,,,1530,1530,1600,1600
Fisheries Research,Elsevier,Hybrid,2901,2849,2710,2790,3260,3260
Fisioterapia,Elsevier,Hybrid,2678,2630,,,1790,1790
Fitoterapia,Elsevier,Hybrid,1785,1753,2890,2980,3360,3360
FlatChem,Elsevier,Hybrid,,,2050,2530,2640,2640
Flora,Elsevier,Hybrid,1517,1490,2000,2470,2570,2570
Flow Measurement and Instrumentation,Elsevier,Hybrid,2232,2192,2360,2550,2740,2740
Fluid Phase Equilibria,Elsevier,Hybrid,2008,1972,2890,3080,3430,3430
Food Bioscience,Elsevier,Hybrid,2678,2814,2810,2900,2930,2930
Food Chemistry,Elsevier,OA,,,2890,,,2890
Food Chemistry,Elsevier,Hybrid,,,,3410,3920,3920
Food Chemistry Advances,Elsevier,OA,,,,1530,1600,1600
Food Chemistry: Molecular Sciences,Elsevier,OA,,,1750,1750,1820,1820
Food Chemistry: X,Elsevier,OA,2500,2455,1710,1710,2140,2140
Food Control,Elsevier,Hybrid,3169,3112,3590,3880,4040,4040
Food Hydrocolloids,Elsevier,Hybrid,3616,3551,3550,3950,4240,4240
Food Hydrocolloids for Health,Elsevier,OA,,,2100,2100,2190,2190
Food Microbiology,Elsevier,Hybrid,2812,2761,3300,3400,3890,3890
Food Packaging and Shelf Life,Elsevier,Hybrid,2678,2630,3130,3660,3930,3930
Food Policy,Elsevier,Hybrid,1428,1402,2190,2600,3070,3070
Food Quality and Preference,Elsevier,Hybrid,2991,2937,3810,3920,4090,4090
Food Research International,Elsevier,Hybrid,3392,3331,3330,3420,3680,3680
Food Structure,Elsevier,Hybrid,2678,2630,2630,3130,3160,3160
Food Webs,Elsevier,Hybrid,1562,1665,1740,1930,2580,2580
Food and Bioproducts Processing,Elsevier,Hybrid,2678,2630,2930,2930,3440,3440
Food and Chemical Toxicology,Elsevier,Hybrid,2634,2586,3140,3430,3790,3790
Food and Humanity,Elsevier,Hybrid,,,,,2650,2650
Food and Waterborne Parasitology,Elsevier,OA,1607,1578,1580,1580,1820,1820
"Foot & Ankle Surgery: Techniques, Reports & Cases",Elsevier,OA,,,1750,1750,1820,1820
Foot and Ankle Clinics,Elsevier,Hybrid,,,2630,,,2630
Foot and Ankle Clinics of North America,Elsevier,Hybrid,2678,2630,,,,2630
Foot and Ankle Surgery,Elsevier,Hybrid,1785,2192,2320,2710,3340,3340
Forces in Mechanics,Elsevier,OA,,,1750,1750,1820,1820
Forensic Chemistry,Elsevier,Hybrid,,,2620,3000,3530,3530
Forensic Imaging,Elsevier,Hybrid,,,2160,2160,2820,2820
Forensic Science International,Elsevier,Hybrid,2321,2279,3060,3250,3480,3480
Forensic Science International Supplement Series,Elsevier,Hybrid,2678,,,,,2678
Forensic Science International: Animals and Environments,Elsevier,OA,,,1490,1490,1550,1550
Forensic Science International: Digital Investigation,Elsevier,Hybrid,,2411,2370,2370,2690,2690
Forensic Science International: Genetics,Elsevier,Hybrid,2991,2937,3840,3970,4260,4260
Forensic Science International: Genetics Supplement Series,Elsevier,Hybrid,2678,2630,2630,2710,2820,2820
Forensic Science International: Mind and Law,Elsevier,OA,,1490,1490,1490,1550,1550
