ISSN,Type
0792-1233,p;l
0792-1241,p;l
0792-156X,p;l
0792-4259,p;l
0792-6855,p;l
0792-8424,p;l
0792-9978,p;l
0793-0135,p;l
0793-0283,p;l
0793-1786,p;l
0793-8934,p;l
0794-7410,p;l
0794-8107,p;l
0794-859X,p;l
0795-4778,p;l
0798-0582,p;l
0798-1759,p;l
0798-2259,p;l
0798-4545,p;l
0800-0395,p;l
0800-3076,p;l
0800-3831,p;l
0801-7778,p;l
0802-6106,p;l
0802-7285,p;l
0803-2491,p;l
0803-5253,p;l
0803-7051,p;l
0803-706X,p;l
0803-8740,p;l
0803-9410,p;l
0803-9488,p;l
0804-3639,p;l
0804-4643,p;l
0807-7096,e
0809-1668,p;l
0809-6724,p;l
0809-7291,p;l
0809-8131,p;l
0809-9936,e;l
0810-2686,p;l
0810-4123,p;l
0810-5391,p;l
0810-9028,p;l
0811-1146,p;l
0812-0099,p;l
0812-0439,p;l
0812-3985,p;l
0813-0426,p;l
0813-0531,p;l
0813-2577,p;l
0813-4839,p;l
0814-0626,p;l
0814-3021,p;l
0814-5857,p;l
0814-6039,p;l
0814-723X,p;l
0815-3191,p;l
0815-9319,p;l
0816-4622,p;l
0816-4649,p;l
0817-8542,p;l
0817-881X,p;l
0818-8068,p;l
0818-8149,p;l
0818-9110,p;l
0818-9641,p;l
0818-9935,p;l
0819-8691,p;l
0820-3946,p;l
0822-7942,p;l
0823-2105,p;l
0823-9150,p;l
0824-0469,p;l
0824-2577,p;l
0824-7935,p;l
0825-0383,p;l
0825-8597,p;l
0826-3663,p;l
0826-4805,p;l
0826-8185,p;l
0826-9831,p;l
0827-3383,p;l
0827-6331,p;l
0828-282X,p;l
0828-9999,p;l
0829-2922,p;l
0829-318X,p;l
0829-3201,p;l
0829-5735,p;l
0829-8211,p;l
0830-9000,p;l
0831-2796,p;l
0832-610X,p;l
0832-7823,p;l
0832-8781,p;l
0833-2207,p;l
0834-1516,p;l
0835-1813,p;l
0835-3026,p;l
0835-3638,p;l
0840-4704,p;l
0840-6286,p;l
0840-6529,p;l
0840-7789,p;l
0840-9331,p;l
0841-8209,p;l
0843-4379,p;l
0843-8714,p;l
0844-5621,p;l
0846-5371,p;l
0847-5911,p;l
0850-3907,p;l
0852-0682,p;l
0852-0720,p;l
0852-0941,p;l
0852-100X,p
0853-1773,p;l
0853-7291,p;l
0853-7380,p;l
0853-8654,p;l
0854-0039,p;l
0854-1272,p;l
0854-4603,p;l
0854-6509,p;l
0854-8919,p;l
0855-4307,p;l
0855-5311,p;l
0856-0056,p;l
0856-096X,p;l
0856-1451,p;l
0856-860X,p;l
0857-1074,p;l
0857-4421,p;l
0857-6084,p;l
0857-6149,p;l
0858-0855,p;l
0858-1088,p;l
0858-1975,p;l
0858-2114,p;l
0858-849X,p;l
0859-3132,p;l
0859-5747,p;l
0859-9920,p;l
0860-0120,p;l
0860-021X,p;l
0860-0562,p;l
0860-0953,p;l
0860-150X,p;l
0860-2107,p;l
0860-2395,p;l
0860-4037,p;l
0860-5734,p
0860-6102,p;l
0860-6161,p;l
0860-6897,p;l
0860-7001,p;l
0860-7796,p;l
0860-8229,p;l
0860-9411,p;l
0861-6604,p;l
0861-6663,p;l
0861-9808,p;l
0862-397X,p;l
0862-495X,p;l
0862-5409,p;l
0862-5468,p;l
0862-6111,p;l
0862-6901,p;l
0862-7940,p;l
0862-7959,p;l
0862-8351,p;l
0862-8408,p;l
0862-8424,p;l
0862-8432,p;l
0862-8440,p;l
0862-867X,p;l
0862-9544,p;l
0862-979X,p;l
0863-1042,p;l
0863-1808,p;l
0864-0289,p;l
0864-0300,p;l
0864-0319,p;l
0864-2125,p;l
0864-2141,p;l
0864-215X,p;l
0864-3466,p;l
0864-4551,p;l
0865-4824,p;l
0866-4811,p;l
0866-9449,p;l
0866-9546,p;l
0867-1761,p;l
0867-2008,p;l
0867-2148,p;l
0867-4159,p;l
0867-5392,p;l
0867-5856,p;l
0867-5910,p;l
0867-6046,p;l
0867-6143,p;l
0867-6356,p;l
0867-8286,p;l
0867-8871,p;l
0867-888X,p;l
0868-4731,p;l
0868-4952,p;l
0868-7692,p;l
0868-8257,p;l
0869-0189,p;l
0869-1908,p;l
0869-2084,p;l
0869-2092,p;l
0869-2106,p;l
0869-3617,p;l
0869-5377,p;l
0869-5415,p;l
0869-5474,p;l
0869-5687,p;l
0869-5911,p
0869-5938,p;l
0869-6047,p;l
0869-6055,p;l
0869-6063,p;l
0869-6365,p;l
0869-6632,p;l
0869-6918,p;l
0869-8031,p;l
0869-8643,p;l
0869-866X,p;l
0869-8678,p;l
0870-0133,p;l
0870-0958,p;l
0870-0990,p;l
0870-2551,p;l
0870-399X,p;l
0870-4112,p;l
0870-4147,p;l
0870-5283,p;l
0870-6182,p;l
0870-8231,p;l
0870-8967,p;l
0871-1569,p;l
0871-682X,p;l
0871-9187,p;l
0871-9527,p;l
0871-9721,p;l
0872-1904,p;l
0872-2110,p;l
0872-4733,p;l
0872-5632,p;l
0873-0628,p;l
0873-3015,p;l
0873-626X,p;l
0873-6529,p;l
0873-6561,p;l
0873-948X,p;l
0873-9749,p;l
0874-0283,p;l
0874-0801,p;l
0874-2049,p;l
0874-5102,p;l
0874-5498,p;l
0874-5560,p;l
0874-8810,p;l
0874-9671,p;l
0882-0139,p;l
0882-0538,p;l
0882-0783,p;l
0882-0945,p;l
0882-1127,p;l
0882-2689,p;l
0882-2786,p;l
0882-4010,p;l
0882-4096,p;l
0882-4371,p;l
0882-5165,p;l
0882-5734,p;l
0882-5963,p;l
0882-6110,p;l
0882-6145,p;l
0882-7508,p;l
0882-7516,p;l
0882-7524,p;l
0882-7958,p;l
0882-7974,p;l
0882-8156,p;l
0882-8245,p;l
0882-8539,p;l
0883-0185,p;l
0883-024X,p;l
0883-0355,p;l
0883-0738,p;l
0883-1157,p;l
0883-1351,p;l
0883-2323,p;l
0883-2919,p;l
0883-2927,p;l
0883-4237,p;l
0883-5403,p;l
0883-5691,p;l
0883-5993,p;l
0883-6353,p;l
0883-6612,p;l
0883-7066,p;l
0883-7252,p;l
0883-7554,p;l
0883-7694,p;l
0883-8151,p;l
0883-8534,p;l
0883-8542,p;l
0883-9026,p;l
0883-9115,p;l
0883-9417,p;l
0883-9441,p;l
0883-9514,p;l
0883-9816,p;l
0884-0431,p;l
0884-1233,p;l
0884-1241,p;l
0884-2043,p;l
0884-2175,p
0884-2914,p
0884-3236,p;l
0884-3848,p;l
0884-5123,p;l
0884-5336,p;l
0884-5913,p;l
0884-8173,p;l
0884-8734,p;l
0884-8971,p;l
0884-9382,p;l
0885-0429,p;l
0885-0607,p;l
0885-064X,p;l
0885-0666,p;l
0885-1158,p;l
0885-2006,p;l
0885-2014,p;l
0885-2111,p;l
0885-2308,p;l
0885-2545,p;l
0885-3010,p;l
0885-3134,p;l
0885-3177,p;l
0885-3185,p;l
0885-3282,p;l
0885-3339,p;l
0885-3908,p;l
0885-3924,p;l
0885-4122,p;l
0885-4300,p;l
0885-4513,p;l
0885-4726,p;l
0885-5765,p;l
0885-579X,p;l
0885-6087,p;l
0885-6125,p;l
0885-6222,p;l
0885-6230,p;l
0885-6257,p;l
0885-7024,p;l
0885-7156,p;l
0885-7458,p;l
0885-7466,p;l
0885-7474,p;l
0885-7482,p;l
0885-7490,p;l
0885-8195,p;l
0885-8608,p;l
0885-8624,p;l
0885-8950,p;l
0885-8969,p;l
0885-8977,p;l
0885-8985,p;l
0885-8993,p;l
0885-9698,p;l
0885-9701,p;l
0885-985X,p;l
0886-022X,p;l
0886-0440,p;l
0886-1099,p;l
0886-2605,p;l
0886-3067,p;l
0886-3350,p;l
0886-3687,p;l
0886-5655,p;l
0886-571X,p;l
0886-5930,p;l
0886-6236,p;l
0886-6708,p;l
0886-7356,p;l
0886-7798,p;l
0886-9383,p;l
0886-9634,p;l
0887-0446,p;l
0887-0624,p;l
0887-2171,p;l
0887-2333,p;l
0887-302X,p;l
0887-3267,p;l
0887-3585,p;l
0887-3631,p;l
0887-378X,p;l
0887-3801,p;l
0887-381X,p;l
0887-3828,p;l
0887-4034,p;l
0887-4417,p;l
0887-4476,p;l
0887-4840,p;l
0887-5367,p;l
0887-6045,p;l
0887-6177,p;l
0887-6185,p;l
0887-6274,p;l
0887-6703,p;l
0887-6924,p;l
0887-7963,p;l
0887-8013,p;l
0887-8250,p;l
0887-8722,p;l
0887-8730,p;l
0887-8994,p;l
0887-9303,p;l
0887-9311,p;l
0888-0018,p;l
0888-0395,p;l
0888-045X,p;l
0888-2746,p;l
0888-3254,p;l
0888-3270,p;l
0888-3769,p;l
0888-4064,p;l
0888-4080,p;l
0888-4773,p;l
0888-4781,p;l
0888-5885,p;l
0888-6008,p;l
0888-6091,p;l
0888-613X,p;l
0888-7233,p;l
0888-7462,p;l
0888-7543,p;l
0888-7985,p;l
0888-7993,p;l
0888-8051,p;l
0888-8116,p;l
0888-8892,p;l
0888-9708,p;l
0889-048X,p;l
0889-1575,p;l
0889-1583,p;l
0889-1591,p;l
0889-2229,p;l
0889-3047,p;l
0889-311X,p;l
0889-3241,p;l
0889-325X,p;l
0889-3268,p;l
0889-3365,p;l
0889-3667,p;l
0889-3675,p;l
0889-4019,p;l
0889-4655,p;l
0889-4906,p;l
0889-504X,p;l
0889-5406,p;l
0889-6402,p;l
0889-8391,p;l
0889-8480,p;l
0889-8529,p;l
0889-8545,p;l
0889-8553,p;l
0889-8561,p;l
0889-857X,p;l
0889-8588,p;l
0889-8731,p;l
0889-938X,p;l
0889-9738,p;l
0889-9746,p;l
0890-037X,p;l
0890-0604,p;l
0890-1171,p;l
0890-1686,p;l
0890-1740,p;l
0890-2070,p;l
0890-2917,p;l
0890-3344,p;l
0890-4065,p;l
0890-5096,p;l
0890-5339,p;l
0890-5401,p;l
0890-5436,p;l
0890-5487,p;l
0890-5495,p;l
0890-5762,p;l
0890-6238,p;l
0890-6327,p;l
0890-6955,p;l
0890-765X,p;l
0890-8044,p;l
0890-8389,p;l
0890-8508,p;l
0890-8567,p;l
0890-8575,p;l
0890-9091,p;l
0890-913X,p;l
0890-9369,p;l
0891-0618,p;l
0891-1150,p;l
0891-1762,p;l
0891-1916,p;l
0891-2017,p;l
0891-2416,p;l
0891-2424,p;l
0891-2432,p;l
0891-2513,p;l
0891-2556,p;l
0891-2963,p;l
0891-3668,p;l
0891-3811,p;l
0891-4168,p;l
0891-4222,p;l
0891-4486,p;l
0891-5245,p;l
0891-5520,p;l
0891-5849,p;l
0891-6152,p;l
0891-625X,p;l
0891-6640,p;l
0891-6934,p;l
0891-7736,p;l
0891-8422,p;l
0891-8929,p;l
0891-9356,p;l
0891-9887,p;l
0892-0206,p;l
0892-0362,p;l
0892-0753,p;l
0892-1016,p;l
0892-1997,p;l
0892-2160,p;l
0892-2624,p;l
0892-2764,p;l
0892-3647,p;l
0892-3973,p;l
0892-4562,p;l
0892-5046,p;l
0892-6638,p;l
0892-6794,p;l
0892-6875,p;l
0892-7014,p;l
0892-7022,p;l
0892-7057,p;l
0892-7219,p;l
0892-7537,p;l
0892-7545,p;l
0892-7553,p;l
0892-7626,p;l
0892-7790,p;l
0892-7936,p;l
0892-8339,p;l
0892-8649,p;l
0892-9092,p;l
0892-9882,p;l
0892-9912,p;l
0893-0341,e;l
0893-0465,p;l
0893-1321,p;l
0893-133X,p;l
0893-164X,p;l
0893-2174,p;l
0893-2190,p;l
0893-228X,p;l
0893-2905,p;l
0893-3189,p;l
0893-3200,p;l
0893-3952,p;l
0893-4215,p;l
0893-4983,p;l
0893-5394,p;l
0893-5696,p;l
0893-6080,p;l
0893-6692,p;l
0893-7400,p;l
0893-7648,p;l
0893-8512,p;l
0893-8849,p;l
0893-9454,p;l
0893-9659,p;l
0893-9675,p;l
0894-0282,p;l
0894-0347,p;l
0894-069X,p;l
0894-0886,p;l
0894-0959,p;l
0894-1130,p;l
0894-1491,p;l
0894-1777,p;l
0894-1912,p;l
0894-1920,p;l
0894-1939,p;l
0894-203X,p;l
0894-3184,p;l
0894-3214,p;l
0894-3230,p;l
0894-3257,p;l
0894-3370,p;l
0894-3796,p;l
0894-4105,p;l
0894-4393,p;l
0894-4865,p;l
0894-587X,p;l
0894-6507,p;l
0894-6566,p;l
0894-7317,p;l
0894-8275,p;l
0894-8410,p;l
0894-8453,p;l
0894-8755,p;l
0894-8771,p;l
0894-9085,p;l
0894-9115,p;l
0894-9166,p;l
0894-9468,p;l
0894-9840,p;l
0894-9867,p;l
0895-0172,p;l
0895-0563,p;l
0895-0695,p;l
0895-0849,p;l
0895-173X,p;l
0895-2477,p;l
0895-2779,p;l
0895-2833,p;l
0895-2841,p;l
0895-3309,p;l
0895-3988,p;l
0895-3996,p;l
0895-4356,p;l
0895-4798,p;l
0895-4801,p;l
0895-4852,p;l
0895-562X,p;l
0895-5638,p;l
0895-5646,p;l
0895-6111,p;l
0895-6308,p;l
0895-7061,p;l
0895-7347,p;l
0895-769X,p;l
0895-7959,p;l
0895-7967,p;l
0895-8378,p;l
0895-8696,p;l
0895-9048,p;l
0895-9285,p;l
0895-9374,p;l
0895-9420,p;l
0895-9811,p;l
0895-9935,p;l
0896-0267,p;l
0896-1530,p;l
0896-2960,p;l
0896-3568,p;l
0896-3746,p;l
0896-4289,p;l
0896-4327,p;l
0896-5803,p;l
0896-6273,p;l
0896-6346,p;l
0896-7148,p;l
0896-8411,p;l
0896-8446,p;l
0896-8608,p;l
0896-9205,p;l
0897-1889,p;l
0897-1897,p;l
0897-1900,p;l
0897-3016,p;l
0897-3806,p;l
0897-3962,p;l
0897-4438,p;l
0897-4454,p;l
0897-4756,p;l
0897-5264,p;l
0897-5930,p;l
0897-6546,p;l
0897-7151,p;l
0897-7194,p;l
0898-008X,p;l
0898-0101,p;l
0898-0306,p;l
0898-1221,p;l
0898-1507,p;l
0898-2104,p;l
0898-2112,p;l
0898-2643,p;l
0898-4921,p;l
0898-5626,p;l
0898-5669,p;l
0898-588X,p;l
0898-5898,p;l
0898-5901,p;l
0898-5952,p;l
0898-6207,p;l
0898-6568,p;l
0898-7564,p;l
0898-8838,p;l
0898-929X,p;l
0898-9575,p;l
0898-9621,p;l
0899-0042,p;l
0899-1561,p;l
0899-1855,p;l
0899-1987,p;l
0899-2363,p;l
0899-3408,p;l
0899-3459,p;l
0899-5605,p;l
0899-5885,p;l
0899-6180,p;l
0899-7071,p;l
0899-7640,p;l
0899-7659,p;l
0899-7667,p;l
0899-7764,p;l
0899-8086,p;l
0899-8205,p;l
0899-823X,p;l
0899-8256,p;l
0899-8280,p;l
0899-8418,p;l
0899-8493,p;l
0899-8620,p;l
0899-9007,p;l
0899-9406,p;l
0899-9457,p;l
0899-9546,p;l
0901-3393,p;l
0901-5027,p;l
0901-8328,p;l
0902-0063,p;l
0902-4441,p;l
0902-7351,p;l
0903-1936,p;l
0903-4641,p;l
0904-1699,p;l
0904-2512,p;l
0904-6380,p;l
0905-0167,p;l
0905-4383,p;l
0905-6157,p;l
0905-6947,p;l
0905-7161,p;l
0905-7188,p;l
0905-7196,p;l
0905-9180,p;l
0906-3021,p;l
0906-4702,p;l
0906-4710,p;l
0906-6691,p;l
0906-6705,p;l
0906-6713,p;l
0906-7590,p;l
0907-5682,p;l
0907-676X,p;l
0908-665X,p;l
0908-8857,p;l
0909-0495,p;l
0909-6396,p;l
0909-752X,p;l
0909-8836,p;l
0910-6340,p;l
0910-8327,p;l
0911-0119,p;l
0911-5900,p;l
0911-6028,p;l
0911-6044,p;l
0912-0009,p;l
0912-0289,p;l
0912-0505,p;l
0912-0890,p;l
0912-1870,p;l
0912-2834,p;l
0912-3814,p;l
0913-140X,p;l
0913-1442,p;l
0913-4182,p;l
0913-5006,p;l
0913-557X,p;l
0913-6339,p;l
0913-8668,p;l
0914-3491,p;l
0914-4935,p;l
0914-5087,p;l
0914-7187,p;l
0914-7470,p;l
0914-8779,p;l
0914-9198,p;l
0914-9244,p;l
0915-0986,p;l
0915-1168,p;l
0915-1559,p;l
0915-3942,p;l
0915-5635,p;l
0915-7352,p;l
0916-1503,p;l
0916-5746,p;l
0916-7005,p;l
0916-7250,p;l
0916-8370,p;l
0916-8451,p;l
0916-8508,p;l
0916-8516,p;l
0916-8524,p;l
0916-8532,p;l
0916-8737,p;l
0916-8753,p;l
0916-8818,p;l
0916-9636,p;l
0917-2394,p;l
0917-415X,p;l
0917-5040,p;l
0917-639X,p;l
0917-950X,p;l
0918-1725,p;l
0918-2918,p;l
0918-3701,p;l
0918-4732,p;l
0918-5739,p;l
0918-6158,p;l
0918-7960,p;l
0918-8959,p;l
0918-9440,p;l
0919-3758,p;l
0919-6544,p;l
0919-8172,p;l
0919-9268,p;l
0920-1211,p;l
0920-1297,p;l
0920-1742,p;l
0920-1971,p;l
0920-203X,p;l
0920-3206,p;l
0920-3796,p;l
0920-427X,p;l
0920-4741,p;l
0920-5063,p;l
0920-5071,p;l
0920-5489,p;l
0920-5691,p;l
0920-5861,p;l
0920-623X,p;l
0920-654X,p;l
0920-7775,p;l
0920-8542,p;l
0920-8550,p;l
0920-8569,p;l
0920-8607,p;l
0920-9034,p;l
0920-9069,p;l
0920-9964,p;l
0921-0296,p;l
0921-030X,p;l
0921-0326,p;l
0921-2531,p;l
0921-2728,p;l
0921-2973,p;l
0921-3449,p;l
0921-3740,p;l
0921-4488,p;l
0921-4526,p;l
0921-4534,p;l
0921-4771,p;l
0921-5077,p;l
0921-5093,p;l
0921-5107,p;l
0921-5891,p;l
0921-7126,p;l
0921-7134,p;l
0921-8009,p;l
0921-8181,p;l
0921-8831,p;l
0921-8890,p;l
0921-8971,p;l
0921-898X,p;l
0921-9668,p;l
0921-9781,p;l
0922-1425,p;l
0922-1565,p;l
0922-2936,p;l
0922-4777,p;l
0922-6001,p;l
0922-6028,p;l
0922-6168,p;l
0922-6389,p;l
0922-6435,p;l
0922-6443,p;l
0922-6567,p;l
0922-680X,p;l
0922-842X,p;l
0923-0645,p;l
0923-1811,p;l
0923-2508,p;l
0923-2958,p;l
0923-4748,p;l
0923-4861,p;l
0923-5965,p;l
0923-6082,p;l
0923-6201,p;l
0923-7534,p;l
0923-7771,p;l
0923-7992,p;l
0923-8174,p;l
0923-9820,p;l
0923-9855,p;l
0924-0136,p;l
0924-0608,p;l
0924-090X,p;l
0924-1426,p;l
0924-1868,p;l
0924-1884,p;l
0924-1922,p;l
0924-2031,p;l
0924-2244,p;l
0924-2708,p;l
0924-2716,p;l
0924-3046,p;l
0924-3453,p;l
0924-4247,p;l
0924-4549,p;l
0924-4751,p;l
0924-4867,p;l
0924-4883,p;l
0924-5332,p;l
0924-6460,p;l
0924-6479,p;l
0924-6495,p;l
0924-669X,p;l
0924-6703,p;l
0924-7025,p;l
0924-7963,p;l
0924-8463,p;l
0924-8579,p;l
0924-865X,p;l
0924-9265,p;l
0924-9338,p;l
0924-9389,p;l
0924-977X,p;l
0924-9907,p;l
0925-0123,p;l
0925-0166,p;l
0925-0832,p;l
0925-1022,p;l
0925-1030,p;l
0925-1421,p;l
0925-2312,p;l
0925-2738,p;l
0925-2916,p;l
0925-3467,p;l
0925-4005,p;l
0925-4439,p;l
0925-4560,p;l
0925-4692,p;l
0925-4757,p;l
0925-4927,p;l
0925-4994,p;l
0925-5001,p;l
0925-5214,p;l
0925-5273,p;l
0925-5710,p;l
0925-6512,p;l
0925-7535,p;l
0925-7683,p;l
0925-7721,p;l
0925-8388,p;l
0925-8531,p;l
0925-854X,p;l
0925-8558,p;l
0925-8574,p;l
0925-8604,p;l
0925-8620,p;l
0925-9392,p;l
0925-9635,p;l
0925-9724,p;l
0925-9856,p;l
0925-9864,p;l
0925-9880,p;l
0925-9899,p;l
0925-9902,p;l
0926-2040,p;l
0926-2245,p;l
0926-2261,p;l
0926-227X,p;l
0926-2326,p;l
0926-2601,p;l
0926-2644,p;l
0926-3373,p;l
0926-5805,p;l
0926-5856,p;l
0926-6003,p;l
0926-6070,p;l
0926-6364,p;l
0926-6690,p;l
0926-6801,p;l
0926-7220,p;l
0926-860X,p;l
0926-8782,p;l
0926-9630,p;l
0926-9851,p;l
0926-9959,p;l
0927-0248,p;l
0927-0256,p;l
0927-1910,p;l
0927-2569,p;l
0927-2852,p;l
0927-3042,p;l
0927-3131,p;l
0927-3379,p;l
0927-3522,p;l
0927-3948,p;l
0927-3972,p;l
0927-4065,p;l
0927-4103,p;l
0927-5371,p;l
0927-538X,p;l
0927-5398,p;l
0927-5452,p;l
0927-5568,p;l
0927-5754,p;l
0927-5940,p;l
0927-6440,p;l
0927-6467,p;l
0927-6505,p;l
0927-7099,p;l
0927-7544,p;l
0927-7633,p;l
0927-7706,p;l
0927-7757,p;l
0927-7765,p;l
0927-796X,p;l
0928-0219,p;l
0928-0707,p;l
0928-0731,p;l
0928-0987,p;l
0928-1258,p;l
0928-1371,p;l
0928-1533,p;l
0928-1541,p;l
0928-2750,p;l
0928-4249,p;l
0928-4680,p;l
0928-5105,p;l
0928-5520,p;l
0928-6586,p;l
0928-7329,p;l
0928-7655,p;l
0928-8910,p;l
0928-9380,p;l
0928-9569,p;l
0928-9801,p;l
0929-0052,p;l
0929-0273,p;l
0929-0761,p;l
0929-077X,p;l
0929-0907,p;l
0929-1016,p;l
0929-1199,p;l
0929-1261,p;l
0929-1393,p;l
0929-1873,p;l
0929-189X,p;l
0929-1903,e;l
0929-2403,p;l
0929-2470,p;l
0929-5305,p;l
0929-5313,p;l
0929-5585,p;l
0929-5593,p;l
0929-5607,p;l
0929-600X,p;l
0929-6174,p;l
0929-6212,p;l
0929-6441,p;l
0929-6646,p;l
0929-693X,p;l
0929-6999,p;l
0929-7049,p;l
0929-7316,p;l
0929-7332,p;l
0929-8215,p;l
0929-8436,p;l
0929-8592,p;l
0929-8665,p;l
0929-8673,p;l
0929-9629,p;l
0929-9971,p;l
0929-998X,p;l
0930-0708,p;l
0930-1038,p;l
0930-2786,p;l
0930-2794,p;l
0930-343X,p;l
0930-4282,p;l
0930-5874,p;l
0930-7516,p;l
0930-7575,p;l
0930-777X,p;l
0930-8989,p;l
0930-9225,p;l
0931-041X,p;l
0931-0509,p;l
0931-1785,p;l
0931-1890,p;l
0931-2048,p;l
0931-2250,p;l
0931-2439,p;l
0931-2668,p;l
0931-8658,p;l
0932-0067,p;l
0932-0113,p;l
0932-0555,p;l
0932-0776,p;l
0932-0784,p;l
0932-0814,p;l
0932-2221,p;l
0932-3414,p;l
0932-383X,p;l
0932-3902,p;l
0932-4089,p;l
0932-4194,p;l
0932-433X,p;l
0932-4569,p;l
0932-4739,p;l
0932-5026,p;l
0932-8092,p;l
0932-8114,p;l
0932-8351,p;l
0932-9714,p;l
0932-9951,p;l
0933-1433,p;l
0933-1719,p;l
0933-1875,p;l
0933-1883,p;l
0933-2790,p;l
0933-3657,p;l
0933-4173,p;l
0933-4807,p;l
0933-5137,p;l
0933-5846,p;l
0933-7407,p;l
0933-7741,p;l
0933-7946,p;l
0933-7954,p;l
0934-0866,p;l
0934-0874,p;l
0934-5043,p;l
0934-6694,p;l
0934-8387,p;l
0934-9723,p;l
0934-9839,p;l
0934-9847,p;l
0935-0020,p;l
0935-1175,p;l
0935-1221,p;l
0935-2929,p;l
0935-3518,p;l
0935-4956,p;l
0935-4964,p;l
0935-560X,p;l
0935-7254,p;l
0935-7335,p;l
0935-8943,p;l
0935-9648,p;l
0935-9915,p;l
0936-5214,p;l
0936-577X,p;l
0936-5907,p;l
0936-5931,p;l
0936-6555,p;l
0936-6768,p;l
0936-7195,p;l
0936-8051,p;l
0936-9937,p;l
0937-0862,p;l
0937-2032,p;l
0937-3462,p;l
0937-4477,p;l
0937-7255,p;l
0937-7409,p;l
0937-7743,p;l
0937-9347,p;l
0937-941X,p;l
0937-9819,p;l
0937-9827,p;l
0938-0108,p;l
0938-1279,p;l
0938-1287,p;l
0938-2216,p;l
0938-2259,p;l
0938-5428,p;l
0938-5495,p;l
0938-7412,p;l
0938-7994,p;l
0938-8249,p;l
0938-8974,p;l
0938-8982,p;l
0938-8990,p;l
0939-1533,p;l
0939-2661,p;l
0939-2815,p;l
0939-334X,p;l
0939-3625,p;l
0939-3889,p;l
0939-4451,p;l
0939-4753,p;l
0939-5075,p;l
0939-5555,p;l
0939-5911,p;l
0939-6314,p;l
0939-6411,p;l
0939-7140,p;l
0939-7248,p;l
0939-7299,p;l
0939-8368,p
0939-9585,p;l
0939-978X,p;l
0940-1334,p;l
0940-5429,p;l
0940-5550,p;l
0940-6360,p;l
0940-6689,p;l
0940-6719,p;l
0940-6808,p;l
0940-7391,p;l
0940-8789,p;l
0940-9602,p;l
0941-0643,p;l
0941-1291,p;l
0941-2948,p;l
0941-3790,p;l
0941-4223,p;l
0941-4355,p;l
0942-0940,e
0942-1181,p;l
0942-2056,p;l
0942-4040,p;l
0942-4962,p;l
0942-5616,p;l
0942-8623,p;l
0942-8704,p;l
0942-9352,p;l
0943-2779,p;l
0943-3058,p;l
0943-4062,p;l
0943-4747,p;l
0943-7444,p;l
0943-7592,p;l
0943-8610,p;l
0943-9692,p;l
0944-1174,p;l
0944-1344,p;l
0944-2006,p;l
0944-2502,p;l
0944-2669,p;l
0944-405X,p;l
0944-5013,p;l
0944-5587,p;l
0944-6052,p;l
0944-6524,p;l
0944-6532,p;l
0944-6877,p;l
0944-7113,p;l
0944-7652,p;l
0945-053X,p;l
0945-3245,e
0945-5566,p;l
0945-6317,p;l
0945-6945,p;l
0946-1965,p;l
0946-2171,p;l
0946-2716,p;l
0946-4565,p;l
0946-4778,p;l
0946-5448,p;l
0946-672X,p;l
0946-7076,p;l
0947-0085,p;l
0947-076X,p;l
0947-0867,p;l
0947-0875,p;l
0947-2177,p;l
0947-3580,p;l
0947-3602,p;l
0947-5117,p;l
0947-5745,p;l
0947-6539,p;l
0947-7047,p;l
0947-7349,p;l
0947-7411,p;l
0947-8396,p;l
0947-9163,p;l
0947-9511,p;l
0948-2393,p;l
0948-3055,p;l
0948-3276,p;l
0948-3349,p;l
0948-4280,p;l
0948-5023,e;l
0948-5139,p;l
0948-6143,p;l
0948-6259,p;l
0948-6704,p;l
0948-695X,p
0948-6968,e;l
0948-7034,p;l
0948-7921,p;l
0948-8294,p
0949-149X,p;l
0949-166X,p;l
0949-1775,p;l
0949-2321,p;l
0949-2615,p;l
0949-2658,p;l
0949-2984,p;l
0949-328X,p;l
0949-5932,p;l
0949-6181,p;l
0949-7013,p;l
0949-7714,p;l
0949-8036,p;l
0949-8257,p;l
0949-877X,e
0949-944X,p;l
0949-9571,p;l
0950-0170,p;l
0950-0340,p;l
0950-0618,p;l
0950-0693,p;l
0950-0782,p;l
0950-0804,p;l
0950-0839,p;l
0950-091X,p;l
0950-1991,p;l
0950-222X,p;l
0950-2289,p;l
0950-236X,p;l
0950-2386,p;l
0950-2688,p;l
0950-3110,p;l
0950-3153,p;l
0950-3293,p;l
0950-3471,p;l
0950-382X,p;l
0950-3846,p;l
0950-4222,p;l
0950-4230,p;l
0950-5423,p;l
0950-5431,p;l
0950-5849,p;l
0950-6608,p;l
0950-6764,p;l
0950-7051,p;l
0950-7116,p;l
0950-9232,p;l
0950-9240,p;l
0951-001X,p;l
0951-0605,p;l
0951-0893,p;l
0951-192X,p;l
0951-2748,p;l
0951-354X,p;l
0951-3558,p;l
0951-3574,p;l
0951-3590,p;l
0951-418X,p;l
0951-4198,p;l
0951-4848,p;l
0951-5070,p;l
0951-5089,p;l
0951-5224,p;l
0951-5666,p;l
0951-6298,p;l
0951-631X,p;l
0951-6328,p;l
0951-6433,p;l
0951-7197,p;l
0951-7367,p;l
0951-7375,p;l
0951-7715,p;l
0951-8207,p;l
0951-824X,p;l
0951-8320,p;l
0951-8339,p;l
0951-8398,p;l
0951-8967,p;l
0951-953X,p;l
0952-0767,p;l
