Journal,Field,Publisher,Publisher type,Business model,Institution,Institution type,Country,Website,APC Euros,Scimago Rank,Scimago Quartile,H index,PCI partner
Acta Botanica Brasilica,botany,Sociedade Botanica do Brasil,Non-profit,OA,Sociedade Botanica do Brasil,Society,Brazil,https://acta.botanica.org.br/,148,0.34,Q3 (Plant Science),57,No
Adansonia,botany,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,France,https://sciencepress.mnhn.fr/fr/periodiques/adansonia,0,0.325,Q3 (Plant Science),17,PCI friendly
Alpine Botany,botany,Springer Nature,For-profit Society-Run,Hybrid,Swiss Botanical Society,Society,Germany / UK,https://www.springer.com/journal/35,4451,0.82,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",36,No
American Fern Journal,botany,American Fern Society,Non-profit,Subscription,American Fern Society,Society,,https://www.amerfernsoc.org/american-fern-journal,719,0.339,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",30,No
American Journal of Botany,botany,John Wiley & Sons,For-profit Society-Run,Hybrid,Botanical Society of America,Society,USA,https://bsapubs.onlinelibrary.wiley.com/journal/15372197,618,0.964,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",178,No
Annales Botanici Fennici,botany,BioOne,Non-profit,Hybrid,Finnish Zoological and Botanical Publishing Board,Uni/Gov,USA,https://www.sekj.org/AnnBot.html,600,0.242,Q3 (Plant Science),40,No
Annals of Botany,botany,Oxford University Press (OUP),University Press,Hybrid,The Annals of Botany Company,Non-profit,UK,https://academic.oup.com/aob,2106,1.294,Q1 (Plant Science),215,No
AOB Plants,botany,Oxford University Press (OUP),University Press,OA,The Annals of Botany Company,Non-profit,UK,https://academic.oup.com/aobpla/,1216,0.839,Q1 (Plant Science),63,No
Applications in Plant Sciences,botany,John Wiley & Sons,For-profit Society-Run,OA,Botanical Society of America,Society,USA,https://bsapubs.onlinelibrary.wiley.com/journal/21680450,1138,0.803,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",45,No
Australian Systematic Botany,botany,CSIRO publishing,Non-profit,Hybrid,Commonwealth Scientific and Industrial Research Organisation,Uni/Gov,,https://www.publish.csiro.au/SB,2500,0.541,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",46,No
Botanica Serbica,botany,University of Belgrade,Non-profit,OA diamond,University of Belgrade,Uni/Gov,Serbia,https://botanicaserbica.bio.bg.ac.rs/,0,0.249,Q3 (Plant Science),15,No
Botanical Journal of the Linnean Society,botany,Oxford University Press (OUP),University Press Society-Run,Hybrid,Linnean Society,Society,UK,https://academic.oup.com/botlinnean,3035,0.767,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",84,No
Botanical Review,botany,Springer Nature,For-profit,Hybrid,The New York Botanical Garden,Museum,Germany / UK,https://www.springer.com/journal/12229,2790,1.076,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",81,No
Botany,botany,Canadian Science Publishing,For-profit Society-Run,Hybrid,Canadian Botanical Association / Canadian Society of Plant Biologists / Canadian Society of Ecology and Evolution,Society,,https://cdnsciencepub.com/journal/cjb,2537,0.338,"Q3 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",100,PCI friendly
Botany Letters,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,Societe Botanique de France,Society,UK,https://www.tandfonline.com/toc/tabg21,1119,0.406,Q2 (Plant Science),29,PCI friendly
Bryologist,botany,The American Bryological and Lichenological Society,Non-profit,Hybrid,The American Bryological and Lichenological Society,Society,,https://bioone.org/journals/the-bryologist/issues,926,0.546,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",55,No
Cryptogamie Algologie,botany,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/periodiques/algologie,0,0.327,"Q3 (Aquatic Science; Ecology, Evolution, Behavior and Systematics; Plant Science)",39,PCI friendly
Cryptogamie Bryologie,botany,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/periodiques/bryologie,0,0.273,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",30,PCI friendly
Egyptian Journal of Botany,botany,Egyptian Academy of Scientific Research and Technology,Non-profit,OA diamond,Egyptian Botanical Society,Society,,https://ejbo.journals.ekb.eg/,0,0.271,"Q3 (Agronomy and Crop Science; Biotechnology; Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",15,No
European Journal of Phycology,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,British Phycological Society,Society,UK,https://www.tandfonline.com/toc/tejp20/current,2151,0.512,Q2 (Aquatic Science; Plant Science),82,No
Flora Mediterranea,botany,Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area,Non-profit,OA,Organisation for the Phyto-Taxonomic Investigation of the Mediterranean Area,Society,Italy,https://www.herbmedit.org/FlMedit.html,150,0.337,Q3 (Plant Science),17,No
Fottea,botany,Czech Phycological Society,Non-profit,OA diamond,Czech Phycological Society,Society,,https://fottea.czechphycology.cz/,0,0.543,Q2 (Plant Science),35,No
Grana,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,Collegium Palynologicum Scandinavicum / International Association for Aerobiology,Society,UK,https://www.palynology.info/grana/,1611,0.336,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",47,No
Italian Botanist,botany,Pensoft,For-profit Society-Run,OA,Italian Botanical Society,Society,Bulgaria,https://italianbotanist.pensoft.net/,400,0.359,Q2 (Plant Science),21,No
Journal of Bryology,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,British Bryological Society,Society,UK,https://www.tandfonline.com/toc/yjbr20/current,3190,0.46,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",39,No
Journal of Experimental Botany,botany,Oxford University Press (OUP),University Press Society-Run,Hybrid,Society for Experimental Biology,Society,UK,https://academic.oup.com/jxb,2752,1.778,Q1 (Physiology; Plant Science),308,No
Journal of Phycology,botany,John Wiley & Sons,For-profit Society-Run,Hybrid,Phycological Society of America,Society,USA,https://onlinelibrary.wiley.com/journal/15298817,2547,0.872,Q1 (Aquatic Science; Plant Science),148,No
Journal of Plant Ecology,botany,Oxford University Press (OUP),For-profit Society-Run,OA,Botanical Society of China and Institute of Botany / Chinese Academy of Sciences,Society,UK,https://academic.oup.com/jpe,1796,1.019,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",57,No
Journal of Plant Research,botany,Springer Nature,For-profit Society-Run,Hybrid,Botanical Society of Japan,Society,Germany / UK,https://link.springer.com/journal/10265,2200,0.622,Q2 (Plant Science),84,No
Lankesteriana,botany,Lankester Botanical Garden,Non-profit,Subscription,Lankester Botanical Garden,other,Costa Rica,https://lankesteriana.org/,,0.345,Q3 (Plant Science),20,No
Lindbergia,botany,BioOne,Non-profit,OA diamond,Dutch Bryological and Lichenological Society / Nordic Bryological Society,Society,Sweden,https://www.lindbergia.org/,0,0.205,"Q4 (Ecology, Evolution, Behavior and Systematics; Plant Science)",21,No
Mediterranean Botany,botany,Universidad Complutense Madrid,Non-profit,OA diamond,Universidad Complutense Madrid,Uni/Gov,Spain,https://revistas.ucm.es/index.php/MBOT,0,0.378,Q2 (Ecology; Plant Science),11,No
Nordic Journal of Botany,botany,John Wiley & Sons,For-profit Society-Run,Hybrid,Nordic Society Oikos,Society,USA,https://onlinelibrary.wiley.com/journal/17561051,2060,0.351,Q2 (Plant Science),41,PCI friendly
Ornis Fennica,botany,BirdLife Finland,Non-profit,OA diamond,BirdLife Finland,Non-profit,,https://www.ornisfennica.org/,0,0.378,Q2 (Animal Science and Zoology),35,No
Phycologia,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,International Phycological Society,Society,UK,https://www.tandfonline.com/journals/uphy20,2650,0.429,Q2 (Aquatic Science; Plant Science),78,No
Plant Biology,botany,John Wiley & Sons,For-profit Society-Run,Hybrid,German Society for Plant Sciences / Royal Botanical Society of the Netherlands,Society,USA,https://onlinelibrary.wiley.com/journal/14388677,2580,1.089,"Q1 (Ecology, Evolution, Behavior and Systematics; Medicine; Plant Science)",115,No
Plant Biosystems,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,Italian Botanical Society,Society,UK,https://www.tandfonline.com/toc/tplb20/current,3170,0.409,"Q2 (Ecology, Evolution, Behavior and Systematics; Plant Science)",63,No
Plant Direct,botany,John Wiley & Sons,For-profit Society-Run,OA,American Society of Plant Biologists / Society for Experimental Biology,Society,USA,https://onlinelibrary.wiley.com/journal/24754455,1813,0.802,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",33,No
Plant Ecology and Diversity,botany,Taylor & Francis Group,For-profit Society-Run,Hybrid,Botanical Society of Scotand,Society,UK,https://www.tandfonline.com/toc/tped20/current,1052,0.622,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Plant Science)",46,No
Plant Journal,botany,John Wiley & Sons,For-profit Society-Run,Hybrid,Society for Experimental Biology,Society,USA,https://onlinelibrary.wiley.com/journal/1365313x,3671,2.275,Q1 (Cell Biology; Genetics; Plant Science),327,No
Plant Sociology,botany,Pensoft,For-profit Society-Run,OA,Societa Italiana di Scienza della Vegetazione,Society,Bulgaria,https://plantsociology.arphahub.com/,305,0.502,"Q2 (Ecology; Ecology, Evolution, Behavior and Systematics; Forestry; Plant Science)",31,No
Plants People Planet,botany,John Wiley & Sons,For-profit,OA,New Phytologist Foundation,Non-profit,UK,https://nph.onlinelibrary.wiley.com/journal/25722611,2212,0.971,"Q1 (Ecology, Evolution, Behavior and Systematics; Forestry; Horticulture; Plant Science)",35,No
South African Journal of Botany,botany,Elsevier,For-profit Society-Run,Hybrid,South African Association of Botanists,Society,Netherlands,https://www.journals.elsevier.com/south-african-journal-of-botany,2477,0.558,Q2 (Plant Science),92,No
Systematic Botany,botany,BioOne,Non-profit,Hybrid,American Society of Plant Taxonomists,Society,USA,https://www.aspt.net/publications/sysbot,534,0.336,"Q3 (Ecology, Evolution, Behavior and Systematics; Plant Science)",85,No
American Naturalist,evolution,University of Chicago Press,University Press Society-Run,Hybrid,American Society of Naturalists,Society,,https://www.journals.uchicago.edu/toc/an/current,2406,1.265,"Q1 (Ecology, Evolution, Behavior and Systematics)",236,No
Animal Biodiversity and Conservation,evolution,Museu de Ciencies Naturals de Barcelona,Non-profit,OA diamond,Museu de Ciencies Naturals de Barcelona,Museum,Spain,https://abc.museucienciesjournals.cat/about/?lang=en,0,0.378,Q2 (Animal Science and Zoology; Nature and Landscape Conservation),42,No
Annual Review of Ecology Evolution and Systematics,evolution,Annual Reviews,Non-profit,Subscription,Annual Reviews,Non-profit,,https://www.annualreviews.org/journal/ecolsys,,5.214,"Q1 (Ecology; Ecology, Evolution, Behavior and Systematics)",254,No
Biological Journal of the Linnean Society,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,Linnean Society,Society,UK,https://academic.oup.com/biolinnean,3305,0.64,"Q2 (Ecology, Evolution, Behavior and Systematics)",129,No
Biosystema,evolution,Editions Materiologiques,For-profit Society-Run,Subscription,Societe Francaise de Systematique,Society,,https://stm.cairn.info/revue-biosystema?lang=fr,,,,,No
Cladistics,evolution,John Wiley & Sons,For-profit Society-Run,Hybrid,Willi Hennig Society,Society,USA,https://onlinelibrary.wiley.com/journal/10960031,2612,1.973,"Q1 (Ecology, Evolution, Behavior and Systematics)",107,No
European Journal of Taxonomy,evolution,European Journal of Taxonomy Consortium,Non-profit,OA diamond,European Journal of Taxonomy Consortium,Museum,France,https://europeanjournaloftaxonomy.eu/index.php/ejt,0,0.564,"Q2 (Ecology, Evolution, Behavior and Systematics)",29,PCI friendly
Evolution,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,Society for the Study of Evolution,Society,UK,https://academic.oup.com/evolut,2009,1.172,"Q1 (Agricultural and Biological Sciences; Ecology, Evolution, Behavior and Systematics)",227,PCI friendly
Evolution Letters,evolution,Oxford University Press (OUP),University Press Society-Run,OA,Society for the Study of Evolution / European Society for Evolutionary Biology,Society,UK,https://academic.oup.com/evlett,1956,1.611,"Q1 (Ecology, Evolution, Behavior and Systematics; Genetics)",37,PCI friendly
Evolutionary Journal of the Linnean Society,evolution,Oxford University Press (OUP),University Press Society-Run,OA,Linnean Society,Society,UK,https://academic.oup.com/evolinnean,1868,,,,No
Evolutionary Systematics,evolution,Pensoft,For-profit,OA,Center of Natural History at the University of Hamburg,Uni/Gov,Bulgaria,https://evolsyst.pensoft.net/,420,0.555,Q1 (Animal Science and Zoology),9,No
Gayana,evolution,Universidad de Concepcion Ediciones,Non-profit,OA,Universidad de Concepcion,Uni/Gov,Chile,https://gayana.cl,321,0.225,Q3 (Animal Science and Zoology),21,No
Ideas in Ecology and Evolution,evolution,Open Journal Systems,Non-profit,OA,Queen's University,Uni/Gov,Canada,https://ojs.library.queensu.ca/index.php/IEE,173,,,,No
Integrative and Comparative Biology,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,Society for Integrative and Comparative Biology,Society,UK,https://academic.oup.com/icb,2807,0.713,Q1 (Animal Science and Zoology; Plant Science),144,No
Invertebrate Systematics,evolution,CSIRO publishing,Non-profit,Hybrid,Commonwealth Scientific and Industrial Research Organisation,Uni/Gov,,https://www.publish.csiro.au/is,2500,0.719,"Q1 (Ecology, Evolution, Behavior and Systematics)",60,No
Journal of Evolutionary Biology,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,European Society for Evolutionary Biology,Society,UK,https://academic.oup.com/jeb,2296,0.921,"Q1 (Ecology, Evolution, Behavior and Systematics)",148,PCI friendly
Journal of Mammalian Evolution,evolution,Springer Nature,For-profit Society-Run,Hybrid,Society for the Study of Mammalian Evolution,Society,Germany / UK,https://www.springer.com/journal/10914,2690,0.597,"Q2 (Ecology, Evolution, Behavior and Systematics)",56,PCI friendly
Journal of Systematics and Evolution,evolution,John Wiley & Sons,For-profit,Hybrid,Institute of Botany Chinese Academy of Sciences,Uni/Gov,USA,https://onlinelibrary.wiley.com/journal/17596831,2500,1.108,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",65,No
Journal of the National Museum (Prague) Natural History Series,evolution,National Museum of Prague,Non-profit,OA diamond,National Museum of Prague,Museum,,https://publikace.nm.cz/en/periodicals/jotnmpnhs,0,,,,No
Mémoires du Muséum d'histoire naturelle,evolution,Museum National d'Histoire Naturelle,Non-profit,Subscription,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/collections/memoires-du-museum-national-d-histoire-naturelle,,,,,No
New Phytologist,evolution,John Wiley & Sons,For-profit,Hybrid,New Phytologist Foundation,Non-profit,USA,https://nph.onlinelibrary.wiley.com/journal/14698137,3031,3.293,Q1 (Physiology; Plant Science),327,No
Novitates Caribaea,evolution,Museo Nacional de Historia Natural de Republica Dominicana,Non-profit,OA diamond,Museo Nacional de Historia Natural de Republica Dominicana,Museum,Dominican Republic,https://novitatescaribaea.do/,0,,,,No
Organisms Diversity & Evolution,evolution,Springer Nature,For-profit Society-Run,Hybrid,Gesellschaft fuer Biologische Systematik,Society,Germany / UK,https://www.springer.com/journal/13127,2514,0.649,"Q2 (Ecology, Evolution, Behavior and Systematics)",55,No
Peer Community In Evolutionary Biology,evolution,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://evolbiol.peercommunityin.org/,0,,,,PCI
Plant Ecology and Evolution,evolution,Meise Botanic Garden / Royal Botanical Society of Belgium,Non-profit,OA diamond,Meise Botanic Garden / Royal Botanical Society of Belgium,Society,Belgium,https://plecevo.eu/,0,0.424,Q2 (Plant Science),39,No
Records of the Australian Museum,evolution,Australian Museum,Non-profit,OA diamond,Australian Museum,Museum,Australia,https://australian.museum/learn/publications/records-of-the-australian-museum-journal/,0,0.397,Q1 (History; Museology),24,No
Systematic Biology,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,Society of Systematic Biologists,Society,UK,https://academic.oup.com/sysbio,1497,2.945,"Q1 (Ecology, Evolution, Behavior and Systematics; Genetics)",208,No
Taxon,evolution,John Wiley & Sons,For-profit Society-Run,Hybrid,International Association for Plant Taxonomy,Society,USA,https://onlinelibrary.wiley.com/journal/19968175,1500,0.882,"Q1 (Ecology, Evolution, Behavior and Systematics; Plant Science)",100,No
Zoological Journal of the Linnean Society,evolution,Oxford University Press (OUP),University Press Society-Run,Hybrid,Linnean Society,Society,UK,https://academic.oup.com/zoolinnean,2553,1.007,"Q1 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",99,No
Zoosystema,evolution,Museum National d'Histoire Naturelle,Non-profit,OA diamond,Museum National d'Histoire Naturelle,Museum,,https://sciencepress.mnhn.fr/fr/periodiques/zoosystema,0,0.418,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",32,PCI friendly
Zoosystematics and Evolution,evolution,Pensoft,For-profit,OA,Museum for Natural History Berlin,Museum,Bulgaria,https://zse.pensoft.net/,872,0.487,"Q2 (Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics; Insect Science)",29,No
Anais da Academia Brasileira de Ciencias,general,Academia Brasileira de Ciencias,Non-profit,Subscription,The Brazilian Academy of Sciences (BAS),Non-profit,Brazil,https://www.abc.org.br/en/publicacoes/anais-abc/,,0.295,Q2 (Multidisciplinary),76,No
Annals of the New York Academy of Sciences,general,John Wiley & Sons,For-profit Society-Run,Hybrid,The New York Academy of Science,Society,USA,https://nyaspubs.onlinelibrary.wiley.com/journal/17496632,3054,1.458,"Q1 (Biochemistry, Genetics and Molecular Biology; History and Philosophy of Science; Neuroscience)",301,No
Biological Reviews,general,John Wiley & Sons,For-profit Society-Run,Hybrid,Cambridge Philosophical Society,Society,USA,https://onlinelibrary.wiley.com/journal/1469185x,2316,4.383,"Q1 (Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology)",211,No
Biology Letters,general,The Royal Society,Non-profit,Hybrid,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rsbl,1964,1.071,Q1 (Agricultural and Biological Sciences),140,No
Biology Open,general,The Company of Biologists,Non-profit,OA,The Company of Biologists,Non-profit,UK,https://journals.biologists.com/bio,1698,0.723,Q1 (Agricultural and Biological Sciences),61,No
Bioscience,general,Oxford University Press (OUP),University Press,Hybrid,American Institute of Biological Sciences,Non-profit,UK,https://academic.oup.com/bioscience,5289,2.365,Q1 (Agricultural and Biological Sciences),250,No
Cold Spring Harbor Perspectives in Biology,general,Cold Spring Harbor Laboratory Press,Non-profit,Subscription,Cold Spring Harbor Laboratory,Non-profit,,https://cshperspectives.cshlp.org/,,3.699,"Q1 (Biochemistry, Genetics and Molecular Biology)",251,No
Comptes Rendus Biologies,general,Academie des Sciences,Non-profit,OA diamond,Academie des Sciences,Uni/Gov,France,https://comptes-rendus.academie-sciences.fr/biologies,0,0.308,Q2 (Agricultural and Biological Sciences),98,No
eLife,general,eLife Sciences Publications,Non-profit,OA,Howard Hughes Medical Institute / Max Planck Society / Wellcome Trust,Non-profit,UK,https://elifesciences.org/,2460,3.379,"Q1 (Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience)",225,No
Interface Focus,general,The Royal Society,Non-profit,Hybrid,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rsfs,2015,0.818,Q1 (Biophysics),78,No
Journal of Biological Research Thessaloniki,general,Aristotle University of Thessaloniki,Non-profit,OA,Aristotle University of Thessaloniki,Uni/Gov,Greece,https://ejournals.lib.auth.gr/jbiolres/index,1618,0.52,,,No
Journal of Experimental Biology,general,The Company of Biologists,Non-profit,Hybrid,The Company of Biologists,Non-profit,,https://journals.biologists.com/jeb,3289,0.931,"Q1 (Animal Science and Zoology; Aquatic Science; Ecology, Evolution, Behavior and Systematics; Insect Science; Medicine)",221,No
National Science Review,general,Oxford University Press (OUP),University Press,OA,Chinese Academy of Sciences,Uni/Gov,UK,https://academic.oup.com/nsr,1782,2.903,Q1 (Multidisciplinary),125,No
Open Biology,general,The Royal Society,Non-profit,OA,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rsob,1907,1.843,"Q1 (Biochemistry, Genetics and Molecular Biology; Immunology; Neuroscience)",84,No
Open Research Europe,general,Faculty of 1000 Research Limited,For-profit,OA diamond,European Commission,Uni/Gov,UK,https://open-research-europe.ec.europa.eu/,0,0.376,Q2 (Multidisciplinary),14,No
Peer Community In Registered Reports,general,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://rr.peercommunityin.org/about/about,0,,,,PCI
Peer Community Journal,general,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://peercommunityin.org/pc-journal/,0,0.797,"Q1 (Agricultural and Biological Sciences; Animal Science and Zoology; Ecology, Evolution, Behavior and Systematics)",12,PCI friendly
Philosophical Transactions of the Royal Society B,general,The Royal Society,Non-profit,Hybrid,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rstb,2040,2.151,,,No
Philosophy Theory and Practice in Biology,general,Michigan publishing,Non-profit,OA diamond,University of Michigan,Uni/Gov,USA,https://journals.publishing.umich.edu/ptpbio/,0,,,,No
PLoS Biology,general,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/plosbiology/,3973,2.691,"Q1 (Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience)",316,PCI friendly
PLoS ONE,general,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/plosone/,1741,0.803,Q1 (Multidisciplinary),467,PCI friendly
PNAS nexus,general,Oxford University Press (OUP),University Press Society-Run,OA,National Academy of Sciences,Society,UK,https://academic.oup.com/pnasnexus,3651,1.198,Q1 (Multidisciplinary),21,No
Proceedings of the National Academy of Sciences of the USA (PNAS),general,National Academy of Sciences,Non-profit,Hybrid,National Academy of Sciences,Uni/Gov,,https://www.pnas.org/,4603,4.184,,,No
Proceedings of the Royal Society B - Biological Sciences,general,The Royal Society,Non-profit,Hybrid,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rspb,1962,1.45,"Q1 (Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine)",302,No
Revista de Biologia Tropical,general,Editorial de la Universidad de Costa Rica,University Press,OA,University of Costa Rica,Uni/Gov,Costa Rica,https://revistas.ucr.ac.cr/index.php/rbt/about,997,0.278,Q2 (Agricultural and Biological Sciences),50,No
Royal Society Open Science,general,The Royal Society,Non-profit,OA,The Royal Society,Society,UK,https://royalsocietypublishing.org/journal/rsos,1393,0.795,Q1 (Multidisciplinary),92,No
Science,general,American Association for the Advancement of Science (AAAS),Non-profit,Subscription,American Association for the Advancement of Science,Society,USA,https://www.sciencemag.org/,2131,10.416,Q1 (History and Philosophy of Science; Multidisciplinary),1382,No
Science Advances,general,American Association for the Advancement of Science (AAAS),Non-profit,OA,American Association for the Advancement of Science,Society,USA,https://advances.sciencemag.org/,3801,4.324,Q1 (Multidisciplinary),288,No
Wellcome Open Research,general,Faculty of 1000 Research Limited,For-profit,OA,Wellcome,other,UK,https://wellcomeopenresearch.org/,1126,0.693,"Q2 (Biochemistry, Genetics and Molecular Biology; Medicine)",52,No
Annual Review of Genetics,genetics,Annual Reviews,Non-profit,Subscription,Annual Reviews,Non-profit,,https://www.annualreviews.org/journal/genet,,6.455,Q1 (Genetics),208,No
Annual Review of Genomics and Human Genetics,genetics,Annual Reviews,Non-profit,Subscription,Annual Reviews,Non-profit,,https://www.annualreviews.org/journal/genom,,4.28,Q1 (Genetics; Molecular Biology),134,No
Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,genetics,Elsevier,For-profit Society-Run,Hybrid,Society for Integrative and Comparative Biology,Society,Netherlands,https://www.sciencedirect.com/journal/comparative-biochemistry-and-physiology-part-a-molecular-and-integrative-physiology,2221,0.618,Q1 (Animal Science and Zoology),132,No
EMBO Reports,genetics,EMBO Press,Non-profit,Hybrid,European Molecular Biology Organisation,Non-profit,UK,https://www.embopress.org/journal/14693178,5914,2.756,Q1 (Biochemistry; Genetics; Molecular Biology),219,No
European Journal of Human Genetics,genetics,Springer Nature,For-profit Society-Run,Hybrid,European Society of Human Genetics,Society,Germany / UK,https://www.nature.com/ejhg/,2610,1.603,Q1 (Genetics),147,No
G3 - Genes Genomes Genetics,genetics,Oxford University Press (OUP),University Press Society-Run,OA,Genetics Society of America,Society,UK,https://academic.oup.com/g3journal,2177,0.812,Q2 (Genetics; Medicine),91,PCI friendly
Genetics,genetics,Oxford University Press (OUP),University Press Society-Run,Hybrid,Genetics Society of America,Society,UK,https://academic.oup.com/genetics,3035,2.272,Q1 (Genetics),283,PCI friendly
Genome Biology and Evolution,genetics,Oxford University Press (OUP),University Press Society-Run,OA,Society for Molecular Biology and Evolution,Society,UK,https://academic.oup.com/gbe,2246,1.173,"Q1 (Ecology, Evolution, Behavior and Systematics)",103,PCI friendly
Genome Research,genetics,Cold Spring Harbor Laboratory Press,Non-profit,Hybrid,Cold Spring Harbor Laboratory,Non-profit,,https://genome.cshlp.org/,3877,3.909,Q1 (Genetics),338,No
Heredity,genetics,Springer Nature,For-profit Society-Run,Hybrid,Genetics Society,Society,Germany / UK,https://www.nature.com/hdy/,2803,1.073,Q2 (Genetics),140,No
Insect Molecular Biology,genetics,John Wiley & Sons,For-profit Society-Run,Hybrid,Royal Entomological Society,Society,USA,https://onlinelibrary.wiley.com/journal/13652583,2790,0.595,Q1 (Insect Science),105,No
Journal of Heredity,genetics,Oxford University Press (OUP),University Press Society-Run,Hybrid,American Genetic Association,Society,UK,https://academic.oup.com/jhered,1196,1.021,Q1 (Biotechnology),105,No
Journal of Proteomics,genetics,Elsevier,For-profit Society-Run,Hybrid,European Proteomics Association,Society,Netherlands,https://www.sciencedirect.com/journal/journal-of-proteomics,2800,0.698,Q2 (Biochemistry; Biophysics),131,No
Mammalian Genome,genetics,Springer Nature,For-profit Society-Run,Hybrid,International Mammalian Genome Society,Society,Germany / UK,https://www.springer.com/journal/335,2645,0.976,Q2 (Genetics),106,No
Microbial Genomics,genetics,Microbiology Society,Non-profit,OA,Microbiology Society,Society,UK,https://www.microbiologyresearch.org/content/journal/mgen,2033,1.539,Q1 (Epidemiology; Genetics; Microbiology; Molecular Biology),57,No
Molecular Biology and Evolution,genetics,Oxford University Press (OUP),University Press Society-Run,OA,Society for Molecular Biology and Evolution,Society,UK,https://academic.oup.com/mbe,2659,4.085,"Q1 (Ecology, Evolution, Behavior and Systematics; Genetics; Molecular Biology)",256,No
Peer Community In Genomics,genetics,Peer Community In,Non-profit,OA diamond,Peer Community In,Non-profit,France,https://genomics.peercommunityin.org/about/about,0,,,,PCI
PLoS Genetics,genetics,Public Library of Science (PLoS),Non-profit,OA,Public Library of Sciences,Non-profit,USA,https://journals.plos.org/plosgenetics/,2397,1.945,"Q1 (Cancer Research; Ecology, Evolution, Behavior and Systematics; Genetics; Molecular Biology)",282,No
Acta Parasitologica,health,Springer Nature,For-profit Society-Run,Hybrid,W. Stefanski Institute of Parasitology of the Polish Academy of Sciences,Society,Germany / UK,https://www.springer.com/journal/11686,2390,0.432,Q3 (Parasitology),43,No
Clinical Microbiology and Infection,health,Elsevier,For-profit Society-Run,Hybrid,European Society of Clinical Microbiology and Infectious Diseases,Society,Netherlands,https://www.clinicalmicrobiologyandinfection.com/,2649,2.742,Q1 (Infectious Diseases; Medicine; Microbiology),210,No
